spend_month,customer_id,country_code,legal_entity,customer_segment,total_spend,food_dining,retail_shopping,travel_transport,healthcare,entertainment,utilities,grocery,hotel,fuel,other_spend,transaction_count,avg_txn_amount,top_merchant,top_category,currency_code,created_at
2025-11,CUST_000001,SG,SG_BANK,mass,1254.58,242.95,0.0,769.34,0.0,19.71,0.0,222.58,0.0,0.0,0.0,7,179.23,Scoot,travel_transport,SGD,2025-12-31 23:59:59
2025-12,CUST_000001,SG,SG_BANK,mass,1457.22,9.53,0.0,797.45,138.23,0.0,300.78,211.23,0.0,0.0,0.0,6,242.87,Scoot,travel_transport,SGD,2025-12-31 23:59:59
2025-01,CUST_000002,SG,SG_BANK,premium,4257.43,611.2,614.35,1887.75,203.63,268.8,262.18,193.99,0.0,215.53,0.0,26,163.75,Scoot,travel_transport,SGD,2025-12-31 23:59:59
2025-02,CUST_000002,SG,SG_BANK,premium,3526.23,441.45,1548.23,1114.56,0.0,174.31,86.4,37.03,0.0,124.25,0.0,22,160.28,Sephora Singapore,retail_shopping,SGD,2025-12-31 23:59:59
2025-03,CUST_000002,SG,SG_BANK,premium,4322.55,242.42,478.26,1368.62,1207.27,18.15,528.62,223.3,0.0,132.71,123.2,22,196.48,Grab Transport SG,travel_transport,SGD,2025-12-31 23:59:59
2025-04,CUST_000002,SG,SG_BANK,premium,5069.95,227.72,2537.81,480.98,0.0,0.0,886.65,823.79,0.0,113.0,0.0,24,211.25,Charles & Keith,retail_shopping,SGD,2025-12-31 23:59:59
2025-05,CUST_000002,SG,SG_BANK,premium,2158.41,595.1,96.71,456.39,76.59,65.86,53.23,439.87,0.0,225.11,149.55,22,98.11,Grab Transport SG,food_dining,SGD,2025-12-31 23:59:59
2025-06,CUST_000002,SG,SG_BANK,premium,4957.66,203.8,1327.51,934.77,926.15,593.25,516.97,338.08,0.0,117.13,0.0,26,190.68,ComfortDelGro,retail_shopping,SGD,2025-12-31 23:59:59
2025-07,CUST_000002,SG,SG_BANK,premium,5163.77,66.01,2290.0,772.75,412.36,372.26,647.27,516.17,0.0,86.95,0.0,21,245.89,Sephora Singapore,retail_shopping,SGD,2025-12-31 23:59:59
2025-08,CUST_000002,SG,SG_BANK,premium,4727.9,224.63,1081.21,637.79,481.4,122.56,1304.97,118.64,605.58,140.55,10.57,22,214.9,Singtel,utilities,SGD,2025-12-31 23:59:59
2025-09,CUST_000002,SG,SG_BANK,premium,8493.08,298.47,3607.44,2277.39,1021.42,383.54,326.9,568.98,0.0,0.0,8.94,33,257.37,Singapore Airlines,retail_shopping,SGD,2025-12-31 23:59:59
2025-10,CUST_000002,SG,SG_BANK,premium,5907.07,177.44,1541.2,2045.27,0.0,233.03,186.03,444.99,1179.42,99.69,0.0,27,218.78,Grab Transport SG,travel_transport,SGD,2025-12-31 23:59:59
2025-11,CUST_000002,SG,SG_BANK,premium,3912.68,84.97,892.86,2003.26,363.89,172.41,113.78,187.05,0.0,0.0,94.46,18,217.37,ComfortDelGro,travel_transport,SGD,2025-12-31 23:59:59
2025-12,CUST_000002,SG,SG_BANK,premium,6844.05,227.1,1196.73,2184.13,197.41,188.76,405.17,724.26,1557.12,0.0,163.37,26,263.23,Pan Pacific Hotel,travel_transport,SGD,2025-12-31 23:59:59
2025-01,CUST_000003,SG,SG_BANK,mass,2173.63,52.58,1287.26,582.91,0.0,0.0,102.17,148.71,0.0,0.0,0.0,7,310.52,ComfortDelGro,retail_shopping,SGD,2025-12-31 23:59:59
2025-02,CUST_000003,SG,SG_BANK,mass,1118.82,139.12,449.68,0.0,326.89,0.0,141.21,61.92,0.0,0.0,0.0,9,124.31,Raffles Medical Group,retail_shopping,SGD,2025-12-31 23:59:59
2025-03,CUST_000003,SG,SG_BANK,mass,836.68,92.85,0.0,0.0,0.0,0.0,743.83,0.0,0.0,0.0,0.0,6,139.45,Singtel,utilities,SGD,2025-12-31 23:59:59
2025-04,CUST_000003,SG,SG_BANK,mass,3414.44,41.03,1058.69,1598.6,0.0,79.48,0.0,0.0,636.64,0.0,0.0,8,426.81,Grab Transport SG,travel_transport,SGD,2025-12-31 23:59:59
2025-05,CUST_000003,SG,SG_BANK,mass,938.77,159.7,0.0,120.61,0.0,180.98,287.5,148.75,0.0,0.0,41.23,10,93.88,StarHub,utilities,SGD,2025-12-31 23:59:59
2025-06,CUST_000003,SG,SG_BANK,mass,3591.86,0.0,920.73,1885.88,0.0,0.0,178.46,0.0,606.79,0.0,0.0,8,448.98,Scoot,travel_transport,SGD,2025-12-31 23:59:59
2025-07,CUST_000003,SG,SG_BANK,mass,1289.24,76.37,0.0,676.5,446.35,0.0,0.0,0.0,0.0,0.0,90.02,8,161.16,Singapore Airlines,travel_transport,SGD,2025-12-31 23:59:59
2025-08,CUST_000003,SG,SG_BANK,mass,2120.55,155.6,1764.07,0.0,0.0,67.67,0.0,36.5,0.0,96.71,0.0,13,163.12,Charles & Keith,retail_shopping,SGD,2025-12-31 23:59:59
2025-09,CUST_000003,SG,SG_BANK,mass,1342.28,166.51,141.53,62.85,493.68,0.0,0.0,101.75,235.47,140.49,0.0,11,122.03,Amazon,healthcare,SGD,2025-12-31 23:59:59
2025-10,CUST_000003,SG,SG_BANK,mass,595.19,57.91,0.0,0.0,0.0,121.4,80.98,0.0,188.53,146.37,0.0,6,99.2,Marriott Singapore,hotel,SGD,2025-12-31 23:59:59
2025-11,CUST_000003,SG,SG_BANK,mass,335.24,78.57,112.65,0.0,0.0,0.0,0.0,0.0,0.0,144.02,0.0,4,83.81,Agoda,fuel,SGD,2025-12-31 23:59:59
2025-12,CUST_000003,SG,SG_BANK,mass,1809.8,136.77,0.0,698.3,441.28,188.42,318.03,0.0,0.0,0.0,27.0,10,180.98,Singapore Airlines,travel_transport,SGD,2025-12-31 23:59:59
2025-01,CUST_000004,SG,SG_BANK,mass,729.34,78.65,517.62,0.0,46.93,86.14,0.0,0.0,0.0,0.0,0.0,5,145.87,Sephora Singapore,retail_shopping,SGD,2025-12-31 23:59:59
2025-02,CUST_000004,SG,SG_BANK,mass,240.25,129.32,33.94,0.0,0.0,0.0,0.0,76.99,0.0,0.0,0.0,4,60.06,Sheng Siong,food_dining,SGD,2025-12-31 23:59:59
2025-03,CUST_000004,SG,SG_BANK,mass,423.64,0.0,0.0,0.0,0.0,0.0,270.59,153.05,0.0,0.0,0.0,2,211.82,StarHub,utilities,SGD,2025-12-31 23:59:59
2025-04,CUST_000004,SG,SG_BANK,mass,1638.6,70.23,44.4,1166.39,357.58,0.0,0.0,0.0,0.0,0.0,0.0,6,273.1,ComfortDelGro,travel_transport,SGD,2025-12-31 23:59:59
2025-05,CUST_000004,SG,SG_BANK,mass,1366.3,66.08,264.75,665.79,49.39,0.0,320.29,0.0,0.0,0.0,0.0,6,227.72,Grab Transport SG,travel_transport,SGD,2025-12-31 23:59:59
2025-06,CUST_000004,SG,SG_BANK,mass,1366.73,56.43,0.0,298.16,430.25,197.21,88.48,296.2,0.0,0.0,0.0,8,170.84,Parkway Health,healthcare,SGD,2025-12-31 23:59:59
2025-07,CUST_000004,SG,SG_BANK,mass,226.02,0.0,0.0,0.0,0.0,0.0,226.02,0.0,0.0,0.0,0.0,1,226.02,StarHub,utilities,SGD,2025-12-31 23:59:59
2025-08,CUST_000004,SG,SG_BANK,mass,1073.63,43.02,242.95,218.46,0.0,0.0,0.0,209.08,360.12,0.0,0.0,6,178.94,Pan Pacific Hotel,hotel,SGD,2025-12-31 23:59:59
2025-09,CUST_000004,SG,SG_BANK,mass,251.78,0.0,182.29,0.0,0.0,69.49,0.0,0.0,0.0,0.0,0.0,2,125.89,ZALORA Singapore,retail_shopping,SGD,2025-12-31 23:59:59
2025-10,CUST_000004,SG,SG_BANK,mass,893.03,103.15,286.14,503.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,178.61,Netflix,travel_transport,SGD,2025-12-31 23:59:59
2025-11,CUST_000004,SG,SG_BANK,mass,237.42,26.77,0.0,0.0,0.0,0.0,0.0,210.65,0.0,0.0,0.0,2,118.71,Cold Storage,grocery,SGD,2025-12-31 23:59:59
2025-12,CUST_000004,SG,SG_BANK,mass,2220.28,0.0,350.53,1692.96,0.0,176.79,0.0,0.0,0.0,0.0,0.0,6,370.05,ComfortDelGro,travel_transport,SGD,2025-12-31 23:59:59
2025-01,CUST_000005,SG,SG_BANK,mass,372.46,83.09,0.0,0.0,289.37,0.0,0.0,0.0,0.0,0.0,0.0,3,124.15,Mount Elizabeth Hospital,healthcare,SGD,2025-12-31 23:59:59
2025-02,CUST_000005,SG,SG_BANK,mass,628.85,41.29,0.0,587.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,209.62,Grab Transport SG,travel_transport,SGD,2025-12-31 23:59:59
2025-03,CUST_000005,SG,SG_BANK,mass,1386.45,0.0,638.57,0.0,444.38,17.54,285.96,0.0,0.0,0.0,0.0,5,277.29,Airtel,retail_shopping,SGD,2025-12-31 23:59:59
2025-04,CUST_000005,SG,SG_BANK,mass,1314.1,0.0,328.57,202.53,0.0,0.0,340.85,354.91,0.0,0.0,87.24,6,219.02,StarHub,grocery,SGD,2025-12-31 23:59:59
2025-05,CUST_000005,SG,SG_BANK,mass,173.94,24.86,0.0,0.0,0.0,65.58,83.5,0.0,0.0,0.0,0.0,3,57.98,SP Group,utilities,SGD,2025-12-31 23:59:59
2025-06,CUST_000005,SG,SG_BANK,mass,581.48,55.77,0.0,0.0,0.0,185.37,0.0,340.34,0.0,0.0,0.0,4,145.37,Cold Storage,grocery,SGD,2025-12-31 23:59:59
2025-07,CUST_000005,SG,SG_BANK,mass,1849.41,58.88,547.27,529.48,132.34,190.84,150.68,239.92,0.0,0.0,0.0,8,231.18,Grab Transport SG,retail_shopping,SGD,2025-12-31 23:59:59
2025-08,CUST_000005,SG,SG_BANK,mass,811.77,0.0,0.0,397.17,0.0,91.69,322.91,0.0,0.0,0.0,0.0,4,202.94,SP Group,travel_transport,SGD,2025-12-31 23:59:59
2025-09,CUST_000005,SG,SG_BANK,mass,2348.47,166.01,0.0,1980.18,137.14,65.14,0.0,0.0,0.0,0.0,0.0,10,234.85,Grab Transport SG,travel_transport,SGD,2025-12-31 23:59:59
2025-10,CUST_000005,SG,SG_BANK,mass,167.6,76.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.71,0.0,4,41.9,Old Chang Kee,fuel,SGD,2025-12-31 23:59:59
2025-11,CUST_000005,SG,SG_BANK,mass,1519.89,0.0,635.57,748.03,0.0,0.0,0.0,0.0,0.0,136.29,0.0,5,303.98,Sephora Singapore,travel_transport,SGD,2025-12-31 23:59:59
2025-12,CUST_000005,SG,SG_BANK,mass,1330.23,104.1,79.95,503.18,0.0,0.0,304.39,338.61,0.0,0.0,0.0,8,166.28,Scoot,travel_transport,SGD,2025-12-31 23:59:59
2025-01,CUST_000006,SG,SG_BANK,mass,1252.66,34.2,468.02,0.0,0.0,74.0,230.62,350.49,0.0,0.0,95.33,9,139.18,Sephora Singapore,retail_shopping,SGD,2025-12-31 23:59:59
2025-02,CUST_000006,SG,SG_BANK,mass,2328.01,168.65,1144.45,243.2,393.05,0.0,0.0,256.05,0.0,0.0,122.61,10,232.8,Charles & Keith,retail_shopping,SGD,2025-12-31 23:59:59
2025-03,CUST_000006,SG,SG_BANK,mass,3166.12,108.02,427.52,849.15,598.06,287.27,64.75,0.0,683.93,0.0,147.42,15,211.07,Marriott Singapore,travel_transport,SGD,2025-12-31 23:59:59
2025-04,CUST_000006,SG,SG_BANK,mass,2141.97,0.0,40.46,1303.95,510.0,16.0,0.0,226.03,0.0,0.0,45.53,8,267.75,Grab Transport SG,travel_transport,SGD,2025-12-31 23:59:59
2025-05,CUST_000006,SG,SG_BANK,mass,2808.47,232.63,555.97,1979.64,0.0,40.23,0.0,0.0,0.0,0.0,0.0,12,234.04,Grab Transport SG,travel_transport,SGD,2025-12-31 23:59:59
2025-06,CUST_000006,SG,SG_BANK,mass,1893.64,78.17,1776.66,0.0,0.0,0.0,0.0,0.0,0.0,38.81,0.0,8,236.7,ZALORA Singapore,retail_shopping,SGD,2025-12-31 23:59:59
2025-07,CUST_000006,SG,SG_BANK,mass,2646.18,99.1,1449.24,548.39,151.81,86.76,85.34,225.54,0.0,0.0,0.0,11,240.56,ZALORA Singapore,retail_shopping,SGD,2025-12-31 23:59:59
2025-08,CUST_000006,SG,SG_BANK,mass,2784.2,62.19,566.59,958.23,418.47,0.0,310.45,408.76,0.0,59.51,0.0,10,278.42,Uniqlo Singapore,travel_transport,SGD,2025-12-31 23:59:59
2025-09,CUST_000006,SG,SG_BANK,mass,1711.05,73.22,953.19,373.14,0.0,137.46,0.0,0.0,0.0,174.04,0.0,9,190.12,Scoot,retail_shopping,SGD,2025-12-31 23:59:59
2025-10,CUST_000006,SG,SG_BANK,mass,3197.43,134.55,1177.28,1300.68,0.0,0.0,346.88,0.0,0.0,0.0,238.04,11,290.68,Singapore Airlines,travel_transport,SGD,2025-12-31 23:59:59
2025-11,CUST_000006,SG,SG_BANK,mass,2534.16,78.37,817.8,1283.35,0.0,195.77,0.0,54.86,0.0,0.0,104.01,11,230.38,Singapore Airlines,travel_transport,SGD,2025-12-31 23:59:59
2025-12,CUST_000006,SG,SG_BANK,mass,2166.51,0.0,497.65,718.06,52.2,274.9,183.55,311.75,0.0,0.0,128.4,11,196.96,Grab Transport SG,travel_transport,SGD,2025-12-31 23:59:59
2025-01,CUST_000007,SG,SG_BANK,mass,1841.52,99.63,0.0,0.0,406.45,0.0,0.0,491.39,844.05,0.0,0.0,6,306.92,Pan Pacific Hotel,hotel,SGD,2025-12-31 23:59:59
2025-02,CUST_000007,SG,SG_BANK,mass,1420.9,60.35,511.57,0.0,398.45,0.0,326.89,0.0,0.0,123.64,0.0,8,177.61,Charles & Keith,retail_shopping,SGD,2025-12-31 23:59:59
2025-03,CUST_000007,SG,SG_BANK,mass,1201.43,40.1,0.0,774.41,0.0,130.21,190.18,66.53,0.0,0.0,0.0,8,150.18,Singapore Airlines,travel_transport,SGD,2025-12-31 23:59:59
2025-04,CUST_000007,SG,SG_BANK,mass,1286.49,62.88,681.32,0.0,0.0,0.0,287.36,254.93,0.0,0.0,0.0,7,183.78,Charles & Keith,retail_shopping,SGD,2025-12-31 23:59:59
2025-05,CUST_000007,SG,SG_BANK,mass,3127.94,191.79,692.98,469.91,0.0,0.0,0.0,295.78,1349.94,0.0,127.54,13,240.61,Marriott Singapore,hotel,SGD,2025-12-31 23:59:59
2025-06,CUST_000007,SG,SG_BANK,mass,1011.98,0.0,141.12,0.0,0.0,310.76,0.0,560.1,0.0,0.0,0.0,6,168.66,Cold Storage,grocery,SGD,2025-12-31 23:59:59
2025-07,CUST_000007,SG,SG_BANK,mass,1448.91,14.86,971.23,0.0,0.0,0.0,0.0,363.22,0.0,99.6,0.0,8,181.11,Uniqlo Singapore,retail_shopping,SGD,2025-12-31 23:59:59
2025-08,CUST_000007,SG,SG_BANK,mass,1928.02,79.13,0.0,1568.98,0.0,84.57,0.0,82.39,0.0,112.95,0.0,8,241.0,Scoot,travel_transport,SGD,2025-12-31 23:59:59
2025-09,CUST_000007,SG,SG_BANK,mass,758.15,36.32,297.61,241.76,0.0,0.0,0.0,0.0,0.0,40.63,141.83,6,126.36,Tenaga Nasional,retail_shopping,SGD,2025-12-31 23:59:59
2025-10,CUST_000007,SG,SG_BANK,mass,3303.51,0.0,1497.34,976.71,0.0,415.76,0.0,154.09,0.0,259.61,0.0,14,235.96,Grab Transport SG,retail_shopping,SGD,2025-12-31 23:59:59
2025-11,CUST_000007,SG,SG_BANK,mass,801.68,34.42,27.32,678.99,0.0,60.95,0.0,0.0,0.0,0.0,0.0,7,114.53,ComfortDelGro,travel_transport,SGD,2025-12-31 23:59:59
2025-12,CUST_000007,SG,SG_BANK,mass,1304.01,168.09,310.1,395.97,67.89,304.13,0.0,0.0,0.0,0.0,57.83,12,108.67,ZALORA Singapore,travel_transport,SGD,2025-12-31 23:59:59
2025-01,CUST_000008,SG,SG_BANK,mass,2612.09,120.54,911.46,1390.89,0.0,0.0,0.0,189.2,0.0,0.0,0.0,9,290.23,Grab Transport MY,travel_transport,SGD,2025-12-31 23:59:59
2025-02,CUST_000008,SG,SG_BANK,mass,1060.13,38.37,202.53,333.27,0.0,0.0,485.96,0.0,0.0,0.0,0.0,5,212.03,Scoot,utilities,SGD,2025-12-31 23:59:59
2025-03,CUST_000008,SG,SG_BANK,mass,2732.99,51.76,493.01,675.92,71.14,571.28,0.0,49.44,820.44,0.0,0.0,15,182.2,Marriott Singapore,hotel,SGD,2025-12-31 23:59:59
2025-04,CUST_000008,SG,SG_BANK,mass,1581.45,0.0,0.0,0.0,194.66,296.01,0.0,182.33,834.29,0.0,74.16,6,263.58,Marriott Singapore,hotel,SGD,2025-12-31 23:59:59
2025-05,CUST_000008,SG,SG_BANK,mass,2286.67,152.14,1592.16,158.82,0.0,0.0,0.0,0.0,383.55,0.0,0.0,10,228.67,Charles & Keith,retail_shopping,SGD,2025-12-31 23:59:59
2025-06,CUST_000008,SG,SG_BANK,mass,1219.68,49.78,173.97,0.0,439.28,187.42,0.0,295.96,0.0,73.27,0.0,7,174.24,Raffles Medical Group,healthcare,SGD,2025-12-31 23:59:59
2025-07,CUST_000008,SG,SG_BANK,mass,2450.47,236.26,674.76,765.39,0.0,0.0,0.0,656.99,0.0,117.07,0.0,14,175.03,Amazon,travel_transport,SGD,2025-12-31 23:59:59
2025-08,CUST_000008,SG,SG_BANK,mass,1822.08,0.0,467.14,126.4,469.42,0.0,291.51,303.26,0.0,122.01,42.34,8,227.76,Raffles Medical Group,healthcare,SGD,2025-12-31 23:59:59
2025-09,CUST_000008,SG,SG_BANK,mass,1640.66,56.95,572.06,455.82,244.84,142.39,0.0,132.06,0.0,0.0,36.54,10,164.07,Charles & Keith,retail_shopping,SGD,2025-12-31 23:59:59
2025-10,CUST_000008,SG,SG_BANK,mass,2672.58,256.33,1062.98,36.29,477.68,101.29,478.74,0.0,0.0,149.93,109.34,16,167.04,Charles & Keith,retail_shopping,SGD,2025-12-31 23:59:59
2025-11,CUST_000008,SG,SG_BANK,mass,2837.91,90.19,0.0,765.79,0.0,0.0,994.75,536.6,450.58,0.0,0.0,12,236.49,Sunway Hotel,utilities,SGD,2025-12-31 23:59:59
2025-12,CUST_000008,SG,SG_BANK,mass,1681.47,139.84,283.91,293.35,0.0,315.46,148.76,500.15,0.0,0.0,0.0,11,152.86,Shaw Theatres,grocery,SGD,2025-12-31 23:59:59
2025-01,CUST_000009,SG,SG_BANK,mass,1802.01,111.15,0.0,57.74,271.87,197.44,452.96,697.89,0.0,0.0,12.96,13,138.62,SP Group,grocery,SGD,2025-12-31 23:59:59
2025-02,CUST_000009,SG,SG_BANK,mass,1313.75,73.83,0.0,551.86,0.0,127.63,284.52,0.0,275.91,0.0,0.0,6,218.96,ComfortDelGro,travel_transport,SGD,2025-12-31 23:59:59
2025-03,CUST_000009,SG,SG_BANK,mass,2648.44,59.15,773.35,565.41,0.0,77.91,421.01,101.43,650.18,0.0,0.0,13,203.73,Pan Pacific Hotel,retail_shopping,SGD,2025-12-31 23:59:59
2025-04,CUST_000009,SG,SG_BANK,mass,2053.33,88.71,686.54,754.42,0.0,219.21,304.45,0.0,0.0,0.0,0.0,9,228.15,Grab Transport SG,travel_transport,SGD,2025-12-31 23:59:59
2025-05,CUST_000009,SG,SG_BANK,mass,1851.82,168.05,787.92,325.79,0.0,228.77,341.29,0.0,0.0,0.0,0.0,12,154.32,Amazon,retail_shopping,SGD,2025-12-31 23:59:59
2025-06,CUST_000009,SG,SG_BANK,mass,2027.25,203.42,254.15,677.44,490.29,192.28,0.0,209.67,0.0,0.0,0.0,11,184.3,Scoot,travel_transport,SGD,2025-12-31 23:59:59
2025-07,CUST_000009,SG,SG_BANK,mass,2390.75,52.44,575.33,296.96,0.0,0.0,448.15,323.82,694.05,0.0,0.0,9,265.64,Pan Pacific Hotel,hotel,SGD,2025-12-31 23:59:59
2025-08,CUST_000009,SG,SG_BANK,mass,1658.34,56.07,930.63,460.8,0.0,0.0,0.0,0.0,0.0,210.84,0.0,9,184.26,Sephora Singapore,retail_shopping,SGD,2025-12-31 23:59:59
2025-09,CUST_000009,SG,SG_BANK,mass,1358.63,133.35,728.3,0.0,0.0,102.35,119.92,0.0,274.71,0.0,0.0,9,150.96,Uniqlo Singapore,retail_shopping,SGD,2025-12-31 23:59:59
2025-10,CUST_000009,SG,SG_BANK,mass,685.66,57.76,71.35,431.37,125.18,0.0,0.0,0.0,0.0,0.0,0.0,5,137.13,ComfortDelGro,travel_transport,SGD,2025-12-31 23:59:59
2025-11,CUST_000009,SG,SG_BANK,mass,2591.04,6.94,114.4,715.98,487.42,367.23,0.0,0.0,899.07,0.0,0.0,8,323.88,Marriott Singapore,hotel,SGD,2025-12-31 23:59:59
2025-12,CUST_000009,SG,SG_BANK,mass,405.74,92.22,0.0,184.55,0.0,12.39,0.0,116.58,0.0,0.0,0.0,5,81.15,Grab Transport SG,travel_transport,SGD,2025-12-31 23:59:59
2025-01,CUST_000010,SG,SG_BANK,affluent,2484.87,40.81,419.21,713.56,0.0,81.92,444.14,0.0,674.65,110.58,0.0,12,207.07,Grab Transport SG,travel_transport,SGD,2025-12-31 23:59:59
2025-02,CUST_000010,SG,SG_BANK,affluent,2395.72,76.68,310.57,1039.96,317.11,16.14,271.99,223.57,0.0,139.7,0.0,13,184.29,ComfortDelGro,travel_transport,SGD,2025-12-31 23:59:59
2025-03,CUST_000010,SG,SG_BANK,affluent,2051.58,204.17,0.0,1009.78,0.0,103.24,230.01,261.77,175.36,0.0,67.25,10,205.16,ComfortDelGro,travel_transport,SGD,2025-12-31 23:59:59
2025-04,CUST_000010,SG,SG_BANK,affluent,2865.33,94.81,820.81,735.71,0.0,173.15,312.93,593.85,0.0,0.0,134.07,14,204.67,Scoot,retail_shopping,SGD,2025-12-31 23:59:59
2025-05,CUST_000010,SG,SG_BANK,affluent,2240.86,512.32,470.26,1258.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,172.37,IndiGo,travel_transport,SGD,2025-12-31 23:59:59
2025-06,CUST_000010,SG,SG_BANK,affluent,927.5,25.8,0.0,178.69,0.0,0.0,441.82,281.19,0.0,0.0,0.0,5,185.5,SP Group,utilities,SGD,2025-12-31 23:59:59
2025-07,CUST_000010,SG,SG_BANK,affluent,2408.75,127.1,443.85,181.71,462.27,487.43,519.26,0.0,0.0,44.51,142.62,19,126.78,Raffles Medical Group,utilities,SGD,2025-12-31 23:59:59
2025-08,CUST_000010,SG,SG_BANK,affluent,2646.4,140.69,670.51,723.4,271.93,0.0,183.18,533.1,0.0,0.0,123.59,14,189.03,Singapore Airlines,travel_transport,SGD,2025-12-31 23:59:59
2025-09,CUST_000010,SG,SG_BANK,affluent,2376.06,241.24,438.47,1425.57,0.0,101.94,0.0,168.84,0.0,0.0,0.0,12,198.0,Singapore Airlines,travel_transport,SGD,2025-12-31 23:59:59
2025-10,CUST_000010,SG,SG_BANK,affluent,2779.92,44.63,1305.09,27.37,497.05,53.45,0.0,756.51,0.0,0.0,95.82,11,252.72,Charles & Keith,retail_shopping,SGD,2025-12-31 23:59:59
2025-11,CUST_000010,SG,SG_BANK,affluent,2108.09,130.03,1127.51,500.36,0.0,0.0,0.0,266.58,0.0,83.61,0.0,10,210.81,ZALORA Singapore,retail_shopping,SGD,2025-12-31 23:59:59
2025-12,CUST_000010,SG,SG_BANK,affluent,986.38,83.72,37.38,0.0,0.0,324.86,0.0,244.4,150.29,0.0,145.73,9,109.6,Golden Village,entertainment,SGD,2025-12-31 23:59:59
2025-01,CUST_000011,SG,SG_BANK,mass,2461.45,0.0,200.44,1147.83,886.22,0.0,0.0,226.96,0.0,0.0,0.0,7,351.64,Grab Transport SG,travel_transport,SGD,2025-12-31 23:59:59
2025-02,CUST_000011,SG,SG_BANK,mass,757.48,29.59,0.0,0.0,384.32,0.0,343.57,0.0,0.0,0.0,0.0,4,189.37,Parkway Health,healthcare,SGD,2025-12-31 23:59:59
2025-03,CUST_000011,SG,SG_BANK,mass,638.01,0.0,225.98,0.0,0.0,166.53,245.5,0.0,0.0,0.0,0.0,3,212.67,Agoda,utilities,SGD,2025-12-31 23:59:59
2025-04,CUST_000011,SG,SG_BANK,mass,1617.95,66.62,521.97,625.74,109.19,0.0,215.37,0.0,0.0,79.06,0.0,7,231.14,Grab Transport SG,travel_transport,SGD,2025-12-31 23:59:59
2025-05,CUST_000011,SG,SG_BANK,mass,662.45,156.43,103.5,207.93,0.0,194.59,0.0,0.0,0.0,0.0,0.0,6,110.41,ComfortDelGro,travel_transport,SGD,2025-12-31 23:59:59
2025-06,CUST_000011,SG,SG_BANK,mass,786.05,44.6,77.15,0.0,72.98,0.0,591.32,0.0,0.0,0.0,0.0,5,157.21,Singtel,utilities,SGD,2025-12-31 23:59:59
2025-07,CUST_000011,SG,SG_BANK,mass,857.83,57.51,439.16,0.0,64.42,156.69,0.0,0.0,0.0,0.0,140.05,5,171.57,ZALORA Singapore,retail_shopping,SGD,2025-12-31 23:59:59
2025-08,CUST_000011,SG,SG_BANK,mass,1243.32,20.32,740.91,0.0,0.0,340.32,141.77,0.0,0.0,0.0,0.0,7,177.62,Charles & Keith,retail_shopping,SGD,2025-12-31 23:59:59
