metric_date,country_code,legal_entity,customer_segment,total_txn,approved_txn,declined_txn,fraud_txn,suspicious_txn,total_amount,fraud_amount,fraud_rate,decline_rate,avg_fraud_score,delinquency_1_30,delinquency_31_60,delinquency_61_90,delinquency_91plus,high_risk_accounts,currency_code,created_at
2025-07-31,MY,MY_BANK,mass,699,645,54,4,22,467091.63,5688.74,0.005722,0.077253,0.1971,0.1119,0.0299,0.0,0.0,19,MYR,2025-12-31 23:59:59
2025-07-31,MY,MY_BANK,affluent,976,914,62,7,36,664156.34,9139.46,0.007172,0.063525,0.2008,0.1111,0.037,0.0,0.0,25,MYR,2025-12-31 23:59:59
2025-07-31,MY,MY_BANK,premium,761,712,49,3,18,517670.15,1993.95,0.003942,0.064389,0.1881,0.1562,0.0625,0.0,0.0,14,MYR,2025-12-31 23:59:59
2025-07-31,IN,IN_BANK,mass,390,366,24,5,9,5002711.62,71016.98,0.012821,0.061538,0.1972,0.1,0.025,0.0,0.0,9,INR,2025-12-31 23:59:59
2025-07-31,IN,IN_BANK,affluent,801,764,37,8,23,10028051.76,62533.83,0.009988,0.046192,0.1933,0.1618,0.0441,0.0,0.0,18,INR,2025-12-31 23:59:59
2025-07-31,IN,IN_BANK,premium,781,733,48,6,23,9574664.52,136862.99,0.007682,0.06146,0.1897,0.1562,0.0312,0.0,0.0,15,INR,2025-12-31 23:59:59
2025-08-31,SG,SG_BANK,mass,405,379,26,4,11,80685.36,527.17,0.009877,0.064198,0.2013,0.1136,0.0114,0.0,0.0,10,SGD,2025-12-31 23:59:59
2025-08-31,SG,SG_BANK,affluent,791,745,46,9,24,148869.18,1323.23,0.011378,0.058154,0.2014,0.1618,0.0147,0.0,0.0,22,SGD,2025-12-31 23:59:59
2025-08-31,SG,SG_BANK,premium,600,561,39,3,11,111686.57,789.07,0.005,0.065,0.192,0.125,0.0,0.0,0.0,9,SGD,2025-12-31 23:59:59
2025-08-31,MY,MY_BANK,mass,699,654,45,14,27,490705.31,9712.68,0.020029,0.064378,0.208,0.1716,0.0224,0.0,0.0,24,MYR,2025-12-31 23:59:59
2025-08-31,MY,MY_BANK,affluent,985,941,44,11,33,665581.57,10608.28,0.011168,0.04467,0.1995,0.1111,0.0,0.0,0.0,29,MYR,2025-12-31 23:59:59
2025-08-31,MY,MY_BANK,premium,796,763,33,7,22,535161.68,4138.16,0.008794,0.041457,0.1959,0.125,0.0,0.0,0.0,16,MYR,2025-12-31 23:59:59
2025-08-31,IN,IN_BANK,mass,438,416,22,7,12,5206220.68,67014.92,0.015982,0.050228,0.2042,0.175,0.025,0.0,0.0,12,INR,2025-12-31 23:59:59
2025-08-31,IN,IN_BANK,affluent,824,775,49,10,29,10128418.18,68319.95,0.012136,0.059466,0.1985,0.1618,0.0,0.0,0.0,23,INR,2025-12-31 23:59:59
2025-08-31,IN,IN_BANK,premium,782,733,49,1,14,9967909.87,38888.6,0.001279,0.06266,0.19,0.0938,0.0625,0.0,0.0,14,INR,2025-12-31 23:59:59
2025-09-30,SG,SG_BANK,mass,467,443,24,3,10,93567.94,356.0,0.006424,0.051392,0.1874,0.1705,0.0227,0.0,0.0,10,SGD,2025-12-31 23:59:59
2025-09-30,SG,SG_BANK,affluent,863,802,61,5,25,160072.25,1389.46,0.005794,0.070684,0.1901,0.0882,0.0294,0.0,0.0,21,SGD,2025-12-31 23:59:59
2025-09-30,SG,SG_BANK,premium,599,573,26,5,11,126622.51,943.55,0.008347,0.043406,0.1855,0.2083,0.0,0.0,0.0,8,SGD,2025-12-31 23:59:59
2025-09-30,MY,MY_BANK,mass,669,639,30,2,11,472056.09,1310.91,0.00299,0.044843,0.1908,0.1119,0.0149,0.0,0.0,11,MYR,2025-12-31 23:59:59
2025-09-30,MY,MY_BANK,affluent,975,919,56,6,21,666016.94,4905.43,0.006154,0.057436,0.1925,0.0988,0.0617,0.0,0.0,18,MYR,2025-12-31 23:59:59
2025-09-30,MY,MY_BANK,premium,838,794,44,4,11,580169.32,1926.47,0.004773,0.052506,0.1942,0.125,0.0312,0.0,0.0,10,MYR,2025-12-31 23:59:59
2025-09-30,IN,IN_BANK,mass,396,377,19,3,6,4721839.59,40680.32,0.007576,0.04798,0.1884,0.15,0.0375,0.0,0.0,6,INR,2025-12-31 23:59:59
2025-09-30,IN,IN_BANK,affluent,804,747,57,3,19,9339529.72,34737.7,0.003731,0.070896,0.1982,0.1471,0.0147,0.0,0.0,18,INR,2025-12-31 23:59:59
2025-09-30,IN,IN_BANK,premium,827,781,46,3,16,9765700.36,23409.85,0.003628,0.055623,0.1897,0.1875,0.0312,0.0,0.0,11,INR,2025-12-31 23:59:59
2025-10-31,SG,SG_BANK,mass,439,419,20,7,13,78149.4,1906.65,0.015945,0.045558,0.1956,0.1136,0.0227,0.0,0.0,12,SGD,2025-12-31 23:59:59
2025-10-31,SG,SG_BANK,affluent,828,782,46,7,21,164848.64,1613.27,0.008454,0.055556,0.1962,0.1324,0.0441,0.0,0.0,18,SGD,2025-12-31 23:59:59
2025-10-31,SG,SG_BANK,premium,636,603,33,8,21,126316.13,2349.27,0.012579,0.051887,0.2004,0.0833,0.0417,0.0,0.0,15,SGD,2025-12-31 23:59:59
2025-10-31,MY,MY_BANK,mass,661,621,40,6,18,430648.15,3222.41,0.009077,0.060514,0.1937,0.1716,0.0448,0.0,0.0,17,MYR,2025-12-31 23:59:59
2025-10-31,MY,MY_BANK,affluent,1007,960,47,5,24,715480.15,8692.23,0.004965,0.046673,0.1908,0.1975,0.037,0.0,0.0,19,MYR,2025-12-31 23:59:59
2025-10-31,MY,MY_BANK,premium,844,797,47,13,34,576949.52,7546.54,0.015403,0.055687,0.2102,0.0938,0.0312,0.0,0.0,18,MYR,2025-12-31 23:59:59
2025-10-31,IN,IN_BANK,mass,389,366,23,4,15,4948075.34,39636.23,0.010283,0.059126,0.2024,0.075,0.0375,0.0,0.0,13,INR,2025-12-31 23:59:59
2025-10-31,IN,IN_BANK,affluent,864,805,59,7,31,10539572.55,99315.9,0.008102,0.068287,0.194,0.1765,0.0294,0.0,0.0,22,INR,2025-12-31 23:59:59
2025-10-31,IN,IN_BANK,premium,843,796,47,7,21,10216924.8,154807.58,0.008304,0.055753,0.1941,0.125,0.0,0.0,0.0,13,INR,2025-12-31 23:59:59
2025-11-30,SG,SG_BANK,mass,426,406,20,8,12,80092.72,2097.71,0.018779,0.046948,0.2008,0.1023,0.0227,0.0,0.0,10,SGD,2025-12-31 23:59:59
2025-11-30,SG,SG_BANK,affluent,853,808,45,3,20,160192.59,285.95,0.003517,0.052755,0.1923,0.0588,0.0,0.0,0.0,16,SGD,2025-12-31 23:59:59
2025-11-30,SG,SG_BANK,premium,590,554,36,5,13,119647.47,668.0,0.008475,0.061017,0.1964,0.25,0.0,0.0,0.0,10,SGD,2025-12-31 23:59:59
2025-11-30,MY,MY_BANK,mass,709,669,40,7,24,494464.3,4671.74,0.009873,0.056417,0.2009,0.1194,0.0149,0.0,0.0,20,MYR,2025-12-31 23:59:59
2025-11-30,MY,MY_BANK,affluent,960,909,51,6,27,680028.97,4456.07,0.00625,0.053125,0.1995,0.0988,0.0494,0.0,0.0,25,MYR,2025-12-31 23:59:59
2025-11-30,MY,MY_BANK,premium,796,756,40,12,26,531393.65,8288.15,0.015075,0.050251,0.206,0.0625,0.0312,0.0,0.0,18,MYR,2025-12-31 23:59:59
2025-11-30,IN,IN_BANK,mass,422,402,20,6,14,5271876.8,82495.67,0.014218,0.047393,0.1997,0.1375,0.0125,0.0,0.0,13,INR,2025-12-31 23:59:59
2025-11-30,IN,IN_BANK,affluent,874,835,39,11,22,11310383.12,108332.55,0.012586,0.044622,0.1978,0.1029,0.0588,0.0,0.0,18,INR,2025-12-31 23:59:59
2025-11-30,IN,IN_BANK,premium,776,741,35,7,19,9555683.42,77806.37,0.009021,0.045103,0.189,0.125,0.0,0.0,0.0,12,INR,2025-12-31 23:59:59
2025-12-31,SG,SG_BANK,mass,453,428,25,5,13,92943.47,788.21,0.011038,0.055188,0.1905,0.0227,0.0227,0.0,0.0,13,SGD,2025-12-31 23:59:59
2025-12-31,SG,SG_BANK,affluent,819,776,43,9,22,157068.29,1914.44,0.010989,0.052503,0.188,0.1176,0.0147,0.0,0.0,17,SGD,2025-12-31 23:59:59
2025-12-31,SG,SG_BANK,premium,599,574,25,7,16,117829.87,759.65,0.011686,0.041736,0.1898,0.0833,0.0,0.0,0.0,11,SGD,2025-12-31 23:59:59
2025-12-31,MY,MY_BANK,mass,680,643,37,8,19,489457.25,9859.1,0.011765,0.054412,0.1934,0.1716,0.0075,0.0,0.0,15,MYR,2025-12-31 23:59:59
2025-12-31,MY,MY_BANK,affluent,1003,949,54,6,20,701219.46,2811.76,0.005982,0.053838,0.1917,0.1235,0.037,0.0,0.0,17,MYR,2025-12-31 23:59:59
2025-12-31,MY,MY_BANK,premium,786,761,25,6,12,578590.14,2821.25,0.007634,0.031807,0.1875,0.2812,0.0,0.0,0.0,10,MYR,2025-12-31 23:59:59
2025-12-31,IN,IN_BANK,mass,403,379,24,3,10,4919532.95,38660.35,0.007444,0.059553,0.1886,0.1375,0.025,0.0,0.0,10,INR,2025-12-31 23:59:59
2025-12-31,IN,IN_BANK,affluent,833,786,47,11,26,10826271.33,108018.72,0.013205,0.056423,0.2124,0.1029,0.0294,0.0,0.0,20,INR,2025-12-31 23:59:59
2025-12-31,IN,IN_BANK,premium,768,714,54,10,28,8730351.03,99074.45,0.013021,0.070312,0.2068,0.125,0.0312,0.0,0.0,16,INR,2025-12-31 23:59:59
