statement_id,account_id,statement_date,ending_balance,minimum_due,payment_due_date,delinquency_bucket,revolving_flag,utilization_rate,created_at
STMT_ACC_000001_202504,ACC_000001,2025-04-05,2219.38,61.57,2025-04-30,current,True,0.7300,2025-04-05
STMT_ACC_000001_202503,ACC_000001,2025-03-06,6112.72,69.18,2025-03-31,91+,False,0.7617,2025-03-06
STMT_ACC_000001_202502,ACC_000001,2025-02-04,6793.99,63.80,2025-03-01,current,False,0.4502,2025-02-04
STMT_ACC_000001_202501,ACC_000001,2025-01-05,6404.04,84.91,2025-01-30,current,False,0.5730,2025-01-05
STMT_ACC_000001_202412,ACC_000001,2024-12-06,5317.82,76.62,2024-12-31,91+,True,0.3212,2024-12-06
STMT_ACC_000001_202411,ACC_000001,2024-11-06,3076.65,85.55,2024-12-01,current,False,0.7869,2024-11-06
STMT_ACC_000001_202410,ACC_000001,2024-10-07,1400.35,54.48,2024-11-01,1-30,False,0.5371,2024-10-07
STMT_ACC_000001_202409,ACC_000001,2024-09-07,2976.54,45.78,2024-10-02,1-30,False,0.0547,2024-09-07
STMT_ACC_000001_202408,ACC_000001,2024-08-08,6792.01,71.03,2024-09-02,31-60,True,0.1260,2024-08-08
STMT_ACC_000001_202407,ACC_000001,2024-07-09,6185.35,80.27,2024-08-03,31-60,False,0.7753,2024-07-09
STMT_ACC_000001_202406,ACC_000001,2024-06-09,6990.17,31.26,2024-07-04,91+,True,0.7497,2024-06-09
STMT_ACC_000002_202603,ACC_000002,2026-03-01,7744.88,43.42,2026-03-26,current,False,0.2143,2026-03-01
STMT_ACC_000002_202601,ACC_000002,2026-01-30,1045.15,72.08,2026-02-24,61-90,True,0.0992,2026-01-30
STMT_ACC_000002_202512,ACC_000002,2025-12-31,9203.02,97.28,2026-01-25,current,True,0.3100,2025-12-31
STMT_ACC_000002_202512,ACC_000002,2025-12-01,3276.17,62.21,2025-12-26,61-90,False,0.3958,2025-12-01
STMT_ACC_000002_202511,ACC_000002,2025-11-01,360.33,55.80,2025-11-26,91+,True,0.4940,2025-11-01
STMT_ACC_000002_202510,ACC_000002,2025-10-02,40.72,71.36,2025-10-27,1-30,True,0.4039,2025-10-02
STMT_ACC_000002_202509,ACC_000002,2025-09-02,8236.05,38.77,2025-09-27,31-60,False,0.4297,2025-09-02
STMT_ACC_000002_202508,ACC_000002,2025-08-03,8232.51,52.96,2025-08-28,current,True,0.4185,2025-08-03
STMT_ACC_000002_202507,ACC_000002,2025-07-04,1912.94,89.25,2025-07-29,current,False,0.3121,2025-07-04
STMT_ACC_000002_202506,ACC_000002,2025-06-04,852.20,61.73,2025-06-29,61-90,False,0.2974,2025-06-04
STMT_ACC_000002_202505,ACC_000002,2025-05-05,6118.14,88.75,2025-05-30,61-90,True,0.3593,2025-05-05
STMT_ACC_000002_202504,ACC_000002,2025-04-05,10544.74,72.59,2025-04-30,current,True,0.1462,2025-04-05
STMT_ACC_000002_202503,ACC_000002,2025-03-06,1115.47,55.77,2025-03-31,current,False,0.0399,2025-03-06
STMT_ACC_000002_202502,ACC_000002,2025-02-04,2346.13,26.96,2025-03-01,61-90,True,0.5105,2025-02-04
STMT_ACC_000002_202501,ACC_000002,2025-01-05,6228.98,87.74,2025-01-30,31-60,True,0.7266,2025-01-05
STMT_ACC_000002_202412,ACC_000002,2024-12-06,11347.21,42.31,2024-12-31,31-60,False,0.2541,2024-12-06
STMT_ACC_000002_202411,ACC_000002,2024-11-06,6491.36,97.58,2024-12-01,1-30,False,0.3084,2024-11-06
STMT_ACC_000003_202603,ACC_000003,2026-03-01,15.09,85.31,2026-03-26,current,True,0.7618,2026-03-01
STMT_ACC_000003_202601,ACC_000003,2026-01-30,125.33,93.28,2026-02-24,current,True,0.4233,2026-01-30
STMT_ACC_000003_202512,ACC_000003,2025-12-31,129.71,35.24,2026-01-25,current,False,0.0180,2025-12-31
STMT_ACC_000003_202512,ACC_000003,2025-12-01,82.49,70.26,2025-12-26,current,False,0.0648,2025-12-01
STMT_ACC_000003_202511,ACC_000003,2025-11-01,396.75,28.68,2025-11-26,61-90,True,0.4153,2025-11-01
STMT_ACC_000003_202510,ACC_000003,2025-10-02,174.46,43.16,2025-10-27,1-30,False,0.2346,2025-10-02
STMT_ACC_000003_202509,ACC_000003,2025-09-02,247.36,65.05,2025-09-27,1-30,True,0.6217,2025-09-02
STMT_ACC_000003_202508,ACC_000003,2025-08-03,393.20,47.84,2025-08-28,current,False,0.1818,2025-08-03
STMT_ACC_000003_202507,ACC_000003,2025-07-04,346.93,71.86,2025-07-29,current,False,0.0698,2025-07-04
STMT_ACC_000003_202506,ACC_000003,2025-06-04,229.63,53.22,2025-06-29,1-30,True,0.0691,2025-06-04
STMT_ACC_000003_202505,ACC_000003,2025-05-05,30.65,56.79,2025-05-30,31-60,False,0.3285,2025-05-05
STMT_ACC_000003_202504,ACC_000003,2025-04-05,209.74,97.26,2025-04-30,1-30,True,0.4453,2025-04-05
STMT_ACC_000003_202503,ACC_000003,2025-03-06,212.72,69.58,2025-03-31,1-30,True,0.4662,2025-03-06
STMT_ACC_000003_202502,ACC_000003,2025-02-04,79.31,35.73,2025-03-01,91+,False,0.3062,2025-02-04
STMT_ACC_000003_202501,ACC_000003,2025-01-05,47.49,72.74,2025-01-30,current,False,0.6895,2025-01-05
STMT_ACC_000003_202412,ACC_000003,2024-12-06,12.04,61.65,2024-12-31,91+,False,0.5580,2024-12-06
STMT_ACC_000003_202411,ACC_000003,2024-11-06,361.68,94.83,2024-12-01,current,False,0.1029,2024-11-06
STMT_ACC_000003_202410,ACC_000003,2024-10-07,205.00,40.64,2024-11-01,current,False,0.4948,2024-10-07
STMT_ACC_000003_202409,ACC_000003,2024-09-07,81.92,66.91,2024-10-02,current,False,0.4973,2024-09-07
STMT_ACC_000004_202603,ACC_000004,2026-03-01,667.18,62.94,2026-03-26,current,True,0.2615,2026-03-01
STMT_ACC_000004_202601,ACC_000004,2026-01-30,509.24,35.58,2026-02-24,current,True,0.6955,2026-01-30
STMT_ACC_000004_202512,ACC_000004,2025-12-31,126.20,93.09,2026-01-25,current,True,0.3717,2025-12-31
STMT_ACC_000004_202512,ACC_000004,2025-12-01,105.19,61.33,2025-12-26,current,True,0.1742,2025-12-01
STMT_ACC_000004_202511,ACC_000004,2025-11-01,626.23,94.72,2025-11-26,current,False,0.0368,2025-11-01
STMT_ACC_000004_202510,ACC_000004,2025-10-02,745.84,72.17,2025-10-27,current,True,0.5056,2025-10-02
STMT_ACC_000004_202509,ACC_000004,2025-09-02,544.21,47.25,2025-09-27,current,True,0.5714,2025-09-02
STMT_ACC_000004_202508,ACC_000004,2025-08-03,36.64,84.63,2025-08-28,31-60,False,0.7426,2025-08-03
STMT_ACC_000004_202507,ACC_000004,2025-07-04,623.90,64.80,2025-07-29,current,False,0.0694,2025-07-04
STMT_ACC_000004_202506,ACC_000004,2025-06-04,29.81,93.19,2025-06-29,31-60,True,0.7743,2025-06-04
STMT_ACC_000004_202505,ACC_000004,2025-05-05,5.60,97.41,2025-05-30,61-90,False,0.2331,2025-05-05
STMT_ACC_000004_202504,ACC_000004,2025-04-05,765.16,73.52,2025-04-30,91+,False,0.0451,2025-04-05
STMT_ACC_000004_202503,ACC_000004,2025-03-06,231.46,51.58,2025-03-31,91+,True,0.3122,2025-03-06
STMT_ACC_000004_202502,ACC_000004,2025-02-04,567.13,78.44,2025-03-01,current,True,0.6944,2025-02-04
STMT_ACC_000004_202501,ACC_000004,2025-01-05,58.47,40.35,2025-01-30,31-60,False,0.5735,2025-01-05
STMT_ACC_000004_202412,ACC_000004,2024-12-06,705.68,27.00,2024-12-31,61-90,True,0.0458,2024-12-06
STMT_ACC_000004_202411,ACC_000004,2024-11-06,565.47,72.61,2024-12-01,1-30,False,0.4515,2024-11-06
STMT_ACC_000004_202410,ACC_000004,2024-10-07,375.43,85.86,2024-11-01,91+,True,0.7612,2024-10-07
STMT_ACC_000004_202409,ACC_000004,2024-09-07,221.61,41.77,2024-10-02,31-60,False,0.6657,2024-09-07
STMT_ACC_000004_202408,ACC_000004,2024-08-08,556.40,91.57,2024-09-02,61-90,False,0.3271,2024-08-08
STMT_ACC_000004_202407,ACC_000004,2024-07-09,161.01,31.85,2024-08-03,current,True,0.2183,2024-07-09
STMT_ACC_000004_202406,ACC_000004,2024-06-09,626.84,91.95,2024-07-04,91+,False,0.2543,2024-06-09
STMT_ACC_000004_202405,ACC_000004,2024-05-10,766.35,64.51,2024-06-04,91+,False,0.0176,2024-05-10
STMT_ACC_000004_202404,ACC_000004,2024-04-10,256.04,29.04,2024-05-05,31-60,True,0.7413,2024-04-10
STMT_ACC_000005_202603,ACC_000005,2026-03-01,5065.79,29.92,2026-03-26,91+,False,0.1257,2026-03-01
STMT_ACC_000005_202601,ACC_000005,2026-01-30,5807.46,82.95,2026-02-24,current,False,0.7091,2026-01-30
STMT_ACC_000005_202512,ACC_000005,2025-12-31,5122.15,78.33,2026-01-25,current,True,0.6376,2025-12-31
STMT_ACC_000005_202512,ACC_000005,2025-12-01,3117.44,77.96,2025-12-26,61-90,True,0.5920,2025-12-01
STMT_ACC_000005_202511,ACC_000005,2025-11-01,4590.33,95.57,2025-11-26,current,False,0.7793,2025-11-01
STMT_ACC_000005_202510,ACC_000005,2025-10-02,3591.35,43.12,2025-10-27,current,False,0.4920,2025-10-02
STMT_ACC_000005_202509,ACC_000005,2025-09-02,5445.69,89.77,2025-09-27,31-60,True,0.4088,2025-09-02
STMT_ACC_000005_202508,ACC_000005,2025-08-03,3614.93,45.37,2025-08-28,current,True,0.6265,2025-08-03
STMT_ACC_000005_202507,ACC_000005,2025-07-04,7489.12,76.32,2025-07-29,61-90,False,0.5290,2025-07-04
STMT_ACC_000005_202506,ACC_000005,2025-06-04,6951.79,38.35,2025-06-29,31-60,False,0.2127,2025-06-04
STMT_ACC_000005_202505,ACC_000005,2025-05-05,3600.80,79.52,2025-05-30,current,True,0.3582,2025-05-05
STMT_ACC_000005_202504,ACC_000005,2025-04-05,5309.66,62.96,2025-04-30,current,False,0.7984,2025-04-05
STMT_ACC_000005_202503,ACC_000005,2025-03-06,1552.67,71.93,2025-03-31,current,True,0.5852,2025-03-06
STMT_ACC_000005_202502,ACC_000005,2025-02-04,2618.43,60.63,2025-03-01,current,False,0.6455,2025-02-04
STMT_ACC_000005_202501,ACC_000005,2025-01-05,624.54,93.53,2025-01-30,current,False,0.3887,2025-01-05
STMT_ACC_000005_202412,ACC_000005,2024-12-06,4640.54,55.08,2024-12-31,current,True,0.3483,2024-12-06
STMT_ACC_000006_202603,ACC_000006,2026-03-01,6831.44,59.03,2026-03-26,current,False,0.6110,2026-03-01
STMT_ACC_000006_202601,ACC_000006,2026-01-30,9371.33,49.35,2026-02-24,91+,True,0.4314,2026-01-30
STMT_ACC_000006_202512,ACC_000006,2025-12-31,4870.12,50.55,2026-01-25,61-90,False,0.1273,2025-12-31
STMT_ACC_000006_202512,ACC_000006,2025-12-01,4231.01,92.81,2025-12-26,61-90,False,0.6300,2025-12-01
STMT_ACC_000006_202511,ACC_000006,2025-11-01,7265.14,73.27,2025-11-26,current,True,0.7277,2025-11-01
STMT_ACC_000006_202510,ACC_000006,2025-10-02,4990.74,29.33,2025-10-27,91+,False,0.3299,2025-10-02
STMT_ACC_000006_202509,ACC_000006,2025-09-02,43.38,71.13,2025-09-27,current,False,0.6206,2025-09-02
STMT_ACC_000006_202508,ACC_000006,2025-08-03,9137.86,91.62,2025-08-28,current,True,0.4742,2025-08-03
STMT_ACC_000006_202507,ACC_000006,2025-07-04,9136.10,45.49,2025-07-29,current,False,0.0829,2025-07-04
STMT_ACC_000006_202506,ACC_000006,2025-06-04,11779.84,30.83,2025-06-29,1-30,True,0.3000,2025-06-04
STMT_ACC_000006_202505,ACC_000006,2025-05-05,6422.25,76.15,2025-05-30,current,True,0.7222,2025-05-05
STMT_ACC_000006_202504,ACC_000006,2025-04-05,7090.39,85.61,2025-04-30,current,False,0.0189,2025-04-05
STMT_ACC_000006_202503,ACC_000006,2025-03-06,11791.44,29.12,2025-03-31,91+,True,0.6806,2025-03-06
STMT_ACC_000006_202502,ACC_000006,2025-02-04,5129.51,52.68,2025-03-01,current,False,0.7992,2025-02-04
STMT_ACC_000006_202501,ACC_000006,2025-01-05,1792.06,88.77,2025-01-30,current,False,0.0960,2025-01-05
STMT_ACC_000006_202412,ACC_000006,2024-12-06,9353.10,50.43,2024-12-31,1-30,True,0.7237,2024-12-06
STMT_ACC_000006_202411,ACC_000006,2024-11-06,6869.25,57.38,2024-12-01,61-90,False,0.4522,2024-11-06
STMT_ACC_000006_202410,ACC_000006,2024-10-07,8207.97,35.13,2024-11-01,61-90,False,0.5913,2024-10-07
STMT_ACC_000007_202603,ACC_000007,2026-03-01,113.03,92.49,2026-03-26,1-30,False,0.2820,2026-03-01
STMT_ACC_000007_202601,ACC_000007,2026-01-30,770.47,30.51,2026-02-24,current,True,0.6669,2026-01-30
STMT_ACC_000007_202512,ACC_000007,2025-12-31,358.93,42.77,2026-01-25,61-90,True,0.5896,2025-12-31
STMT_ACC_000007_202512,ACC_000007,2025-12-01,24.14,62.51,2025-12-26,current,False,0.6548,2025-12-01
STMT_ACC_000007_202511,ACC_000007,2025-11-01,495.82,77.77,2025-11-26,31-60,False,0.3428,2025-11-01
STMT_ACC_000007_202510,ACC_000007,2025-10-02,339.15,90.69,2025-10-27,current,True,0.2648,2025-10-02
STMT_ACC_000007_202509,ACC_000007,2025-09-02,9.57,45.77,2025-09-27,31-60,True,0.4689,2025-09-02
STMT_ACC_000007_202508,ACC_000007,2025-08-03,415.94,31.47,2025-08-28,31-60,False,0.4739,2025-08-03
STMT_ACC_000007_202507,ACC_000007,2025-07-04,180.85,37.63,2025-07-29,91+,True,0.7578,2025-07-04
STMT_ACC_000007_202506,ACC_000007,2025-06-04,640.47,47.99,2025-06-29,current,False,0.5020,2025-06-04
STMT_ACC_000007_202505,ACC_000007,2025-05-05,428.58,51.96,2025-05-30,91+,False,0.1571,2025-05-05
STMT_ACC_000007_202504,ACC_000007,2025-04-05,168.17,44.58,2025-04-30,91+,False,0.2784,2025-04-05
STMT_ACC_000007_202503,ACC_000007,2025-03-06,281.07,87.53,2025-03-31,current,True,0.6511,2025-03-06
STMT_ACC_000007_202502,ACC_000007,2025-02-04,219.20,71.00,2025-03-01,1-30,False,0.6835,2025-02-04
STMT_ACC_000007_202501,ACC_000007,2025-01-05,441.46,37.36,2025-01-30,1-30,True,0.3717,2025-01-05
STMT_ACC_000007_202412,ACC_000007,2024-12-06,209.62,91.37,2024-12-31,31-60,True,0.6309,2024-12-06
STMT_ACC_000007_202411,ACC_000007,2024-11-06,126.77,72.54,2024-12-01,current,True,0.0125,2024-11-06
STMT_ACC_000007_202410,ACC_000007,2024-10-07,115.52,25.37,2024-11-01,61-90,True,0.1291,2024-10-07
STMT_ACC_000008_202603,ACC_000008,2026-03-01,175.17,97.17,2026-03-26,91+,True,0.5534,2026-03-01
STMT_ACC_000008_202601,ACC_000008,2026-01-30,165.02,25.97,2026-02-24,current,False,0.0543,2026-01-30
STMT_ACC_000008_202512,ACC_000008,2025-12-31,233.86,97.47,2026-01-25,current,False,0.7666,2025-12-31
STMT_ACC_000008_202512,ACC_000008,2025-12-01,262.48,68.12,2025-12-26,61-90,False,0.6548,2025-12-01
STMT_ACC_000008_202511,ACC_000008,2025-11-01,165.28,65.74,2025-11-26,1-30,True,0.6196,2025-11-01
STMT_ACC_000008_202510,ACC_000008,2025-10-02,132.40,66.33,2025-10-27,current,False,0.7821,2025-10-02
STMT_ACC_000008_202509,ACC_000008,2025-09-02,315.65,49.74,2025-09-27,61-90,False,0.4465,2025-09-02
STMT_ACC_000008_202508,ACC_000008,2025-08-03,296.77,39.23,2025-08-28,current,False,0.4809,2025-08-03
STMT_ACC_000008_202507,ACC_000008,2025-07-04,379.49,42.85,2025-07-29,1-30,False,0.0002,2025-07-04
STMT_ACC_000008_202506,ACC_000008,2025-06-04,53.04,63.34,2025-06-29,61-90,True,0.7826,2025-06-04
STMT_ACC_000008_202505,ACC_000008,2025-05-05,161.46,53.29,2025-05-30,91+,True,0.4904,2025-05-05
STMT_ACC_000008_202504,ACC_000008,2025-04-05,231.66,49.16,2025-04-30,current,False,0.4389,2025-04-05
STMT_ACC_000008_202503,ACC_000008,2025-03-06,12.47,72.35,2025-03-31,1-30,True,0.7665,2025-03-06
STMT_ACC_000008_202502,ACC_000008,2025-02-04,75.45,97.75,2025-03-01,1-30,True,0.2940,2025-02-04
STMT_ACC_000008_202501,ACC_000008,2025-01-05,359.46,38.08,2025-01-30,31-60,False,0.2760,2025-01-05
STMT_ACC_000008_202412,ACC_000008,2024-12-06,139.69,74.97,2024-12-31,31-60,False,0.1211,2024-12-06
STMT_ACC_000008_202411,ACC_000008,2024-11-06,303.84,65.39,2024-12-01,1-30,False,0.2180,2024-11-06
STMT_ACC_000008_202410,ACC_000008,2024-10-07,65.20,30.20,2024-11-01,current,False,0.3165,2024-10-07
STMT_ACC_000008_202409,ACC_000008,2024-09-07,183.28,96.18,2024-10-02,91+,False,0.5998,2024-09-07
STMT_ACC_000008_202408,ACC_000008,2024-08-08,179.05,27.89,2024-09-02,31-60,False,0.5365,2024-08-08
STMT_ACC_000008_202407,ACC_000008,2024-07-09,368.55,81.01,2024-08-03,current,True,0.6939,2024-07-09
STMT_ACC_000008_202406,ACC_000008,2024-06-09,257.89,78.21,2024-07-04,current,True,0.6368,2024-06-09
STMT_ACC_000008_202405,ACC_000008,2024-05-10,194.63,66.16,2024-06-04,current,True,0.6185,2024-05-10
STMT_ACC_000008_202404,ACC_000008,2024-04-10,114.50,34.02,2024-05-05,61-90,False,0.7693,2024-04-10
STMT_ACC_000009_202603,ACC_000009,2026-03-01,1025.89,81.22,2026-03-26,current,True,0.7495,2026-03-01
STMT_ACC_000009_202601,ACC_000009,2026-01-30,2669.24,86.54,2026-02-24,current,False,0.1993,2026-01-30
STMT_ACC_000009_202512,ACC_000009,2025-12-31,10380.55,31.41,2026-01-25,current,True,0.2020,2025-12-31
STMT_ACC_000009_202512,ACC_000009,2025-12-01,3819.57,74.70,2025-12-26,61-90,True,0.5191,2025-12-01
STMT_ACC_000009_202511,ACC_000009,2025-11-01,6773.27,72.09,2025-11-26,current,False,0.1417,2025-11-01
STMT_ACC_000009_202510,ACC_000009,2025-10-02,8648.74,91.74,2025-10-27,current,True,0.1962,2025-10-02
STMT_ACC_000009_202509,ACC_000009,2025-09-02,11744.39,38.21,2025-09-27,current,False,0.6049,2025-09-02
STMT_ACC_000009_202508,ACC_000009,2025-08-03,5392.74,35.01,2025-08-28,current,True,0.3417,2025-08-03
STMT_ACC_000009_202507,ACC_000009,2025-07-04,11467.78,75.72,2025-07-29,91+,False,0.5626,2025-07-04
STMT_ACC_000009_202506,ACC_000009,2025-06-04,9870.60,86.05,2025-06-29,31-60,True,0.6770,2025-06-04
STMT_ACC_000009_202505,ACC_000009,2025-05-05,2780.75,59.58,2025-05-30,91+,False,0.3892,2025-05-05
STMT_ACC_000009_202504,ACC_000009,2025-04-05,2627.09,43.01,2025-04-30,current,False,0.7551,2025-04-05
STMT_ACC_000009_202503,ACC_000009,2025-03-06,6833.84,62.33,2025-03-31,1-30,False,0.7158,2025-03-06
STMT_ACC_000009_202502,ACC_000009,2025-02-04,3971.25,54.67,2025-03-01,61-90,True,0.7891,2025-02-04
STMT_ACC_000009_202501,ACC_000009,2025-01-05,6361.45,85.18,2025-01-30,current,False,0.0012,2025-01-05
STMT_ACC_000009_202412,ACC_000009,2024-12-06,8460.13,75.66,2024-12-31,current,False,0.2342,2024-12-06
STMT_ACC_000009_202411,ACC_000009,2024-11-06,2123.94,99.47,2024-12-01,1-30,True,0.1057,2024-11-06
STMT_ACC_000009_202410,ACC_000009,2024-10-07,6985.73,54.98,2024-11-01,31-60,False,0.4061,2024-10-07
STMT_ACC_000009_202409,ACC_000009,2024-09-07,2960.40,38.80,2024-10-02,current,False,0.2862,2024-09-07
STMT_ACC_000009_202408,ACC_000009,2024-08-08,11252.83,52.21,2024-09-02,current,True,0.1841,2024-08-08
STMT_ACC_000009_202407,ACC_000009,2024-07-09,9084.21,69.67,2024-08-03,current,True,0.4587,2024-07-09
STMT_ACC_000010_202603,ACC_000010,2026-03-01,167.65,86.98,2026-03-26,current,False,0.6245,2026-03-01
STMT_ACC_000010_202601,ACC_000010,2026-01-30,88.39,41.22,2026-02-24,current,True,0.2139,2026-01-30
STMT_ACC_000010_202512,ACC_000010,2025-12-31,140.45,90.00,2026-01-25,current,True,0.3370,2025-12-31
STMT_ACC_000010_202512,ACC_000010,2025-12-01,142.53,26.10,2025-12-26,current,True,0.6552,2025-12-01
STMT_ACC_000010_202511,ACC_000010,2025-11-01,332.69,49.64,2025-11-26,61-90,True,0.1305,2025-11-01
STMT_ACC_000010_202510,ACC_000010,2025-10-02,255.01,99.78,2025-10-27,current,True,0.1630,2025-10-02
STMT_ACC_000010_202509,ACC_000010,2025-09-02,17.97,95.14,2025-09-27,91+,False,0.3709,2025-09-02
STMT_ACC_000010_202508,ACC_000010,2025-08-03,148.15,57.20,2025-08-28,current,False,0.3763,2025-08-03
STMT_ACC_000010_202507,ACC_000010,2025-07-04,155.23,93.92,2025-07-29,91+,False,0.3083,2025-07-04
STMT_ACC_000010_202506,ACC_000010,2025-06-04,299.11,49.80,2025-06-29,61-90,False,0.5184,2025-06-04
STMT_ACC_000010_202505,ACC_000010,2025-05-05,23.35,66.99,2025-05-30,current,False,0.7478,2025-05-05
STMT_ACC_000010_202504,ACC_000010,2025-04-05,214.64,40.64,2025-04-30,91+,False,0.3837,2025-04-05
STMT_ACC_000010_202503,ACC_000010,2025-03-06,343.50,26.71,2025-03-31,91+,True,0.5496,2025-03-06
STMT_ACC_000010_202502,ACC_000010,2025-02-04,205.01,35.96,2025-03-01,current,False,0.7826,2025-02-04
STMT_ACC_000010_202501,ACC_000010,2025-01-05,82.61,76.35,2025-01-30,31-60,True,0.0310,2025-01-05
STMT_ACC_000010_202412,ACC_000010,2024-12-06,213.79,39.57,2024-12-31,current,False,0.6862,2024-12-06
STMT_ACC_000011_202603,ACC_000011,2026-03-01,6845.48,79.43,2026-03-26,current,True,0.2684,2026-03-01
STMT_ACC_000011_202601,ACC_000011,2026-01-30,7462.05,84.86,2026-02-24,61-90,False,0.4833,2026-01-30
STMT_ACC_000011_202512,ACC_000011,2025-12-31,7407.77,90.34,2026-01-25,91+,False,0.1222,2025-12-31
STMT_ACC_000011_202512,ACC_000011,2025-12-01,613.92,71.53,2025-12-26,61-90,False,0.3153,2025-12-01
STMT_ACC_000011_202511,ACC_000011,2025-11-01,4038.68,85.72,2025-11-26,61-90,False,0.4815,2025-11-01
STMT_ACC_000011_202510,ACC_000011,2025-10-02,2002.62,38.76,2025-10-27,31-60,False,0.6086,2025-10-02
STMT_ACC_000011_202509,ACC_000011,2025-09-02,1711.38,42.09,2025-09-27,31-60,False,0.7065,2025-09-02
STMT_ACC_000011_202508,ACC_000011,2025-08-03,5653.72,72.02,2025-08-28,61-90,True,0.0613,2025-08-03
STMT_ACC_000011_202507,ACC_000011,2025-07-04,1472.84,61.53,2025-07-29,31-60,True,0.2587,2025-07-04
STMT_ACC_000011_202506,ACC_000011,2025-06-04,2641.44,97.37,2025-06-29,61-90,False,0.3285,2025-06-04
STMT_ACC_000011_202505,ACC_000011,2025-05-05,599.28,35.93,2025-05-30,1-30,True,0.4078,2025-05-05
STMT_ACC_000011_202504,ACC_000011,2025-04-05,3828.47,57.51,2025-04-30,current,False,0.3116,2025-04-05
STMT_ACC_000011_202503,ACC_000011,2025-03-06,5583.88,69.56,2025-03-31,91+,False,0.4439,2025-03-06
STMT_ACC_000011_202502,ACC_000011,2025-02-04,7199.35,54.39,2025-03-01,1-30,False,0.4603,2025-02-04
STMT_ACC_000011_202501,ACC_000011,2025-01-05,4125.38,58.73,2025-01-30,61-90,False,0.0472,2025-01-05
STMT_ACC_000011_202412,ACC_000011,2024-12-06,2933.88,94.33,2024-12-31,current,False,0.2067,2024-12-06
STMT_ACC_000011_202411,ACC_000011,2024-11-06,4359.17,48.06,2024-12-01,1-30,True,0.0977,2024-11-06
STMT_ACC_000012_202603,ACC_000012,2026-03-01,63.71,44.45,2026-03-26,31-60,False,0.1420,2026-03-01
