merchant_id,merchant_name,merchant_category_code,address_line1,city,state,zip_code,country,online_offline_flag,created_at
MERCH_000082,Austin-Lee,4121,083 Hernandez Spurs Apt. 595,North Amanda,VI,25443,US,online,2025-02-04 20:02:12.400753
MERCH_000083,Ware Group,5912,8512 Bradford Points Apt. 935,Davidbury,AZ,17355,US,online,2024-07-26 18:45:13.846934
MERCH_000084,"Hernandez, Castillo and Ellison",5912,902 Paul Route Apt. 766,West Brandiberg,AK,32611,US,online,2024-02-19 06:26:48.850448
MERCH_000085,"Jones, Davis and Turner",5541,342 Joshua Forge,Floreston,NC,48496,US,offline,2024-04-30 12:53:22.636478
MERCH_000086,Ross PLC,5912,200 Navarro Drive Suite 244,Nancymouth,NM,35792,US,online,2025-07-20 22:14:03.280997
MERCH_000087,Wolfe-Harrison,5311,1112 Jon Fork,Port Grantbury,KS,22566,US,online,2024-02-13 16:56:41.272062
MERCH_000088,Graham-Dyer,6011,96072 Tyler Park,West Michael,ME,80578,US,online,2024-11-05 02:19:23.507247
MERCH_000089,Fletcher LLC,5411,70125 David Estates,Moodystad,ID,71440,US,online,2025-08-10 01:30:21.611196
MERCH_000090,Todd LLC,5541,970 Jenna Roads,Ellisland,MP,73419,US,offline,2025-05-21 08:40:07.437396
MERCH_000091,Byrd-Zhang,5541,54274 Timothy Springs,Adamton,KS,38891,US,offline,2025-01-10 01:35:41.038344
MERCH_000092,"Morris, Dixon and Garza",5912,261 Andrew Walks Suite 926,South Sallybury,WV,12400,US,offline,2024-12-08 17:15:35.126103
MERCH_000093,Fuller-Simmons,5814,81669 Chad Harbors,West Makayla,IN,58777,US,online,2024-10-17 02:06:33.855513
MERCH_000094,Mueller-Baker,4121,94495 Roberta Glens,New Jasonland,SD,07755,US,online,2024-09-11 06:34:34.353394
MERCH_000095,"Brown, Kim and Scott",4121,858 Bell Haven Apt. 020,Austinfort,IL,12012,US,online,2025-03-30 04:40:16.801301
MERCH_000096,Smith-Stanley,5999,9396 Walters Harbors Suite 238,East Amy,PR,33144,US,offline,2025-10-13 13:27:17.523195
MERCH_000097,Allen Ltd,5999,442 Brown View Apt. 965,West Kellyland,HI,92045,US,online,2026-02-16 19:31:13.794744
MERCH_000098,"Hebert, Collier and Ramirez",5912,3689 Patricia Motorway Apt. 770,Murphyberg,GU,90902,US,online,2025-12-10 15:05:43.208906
MERCH_000099,Martinez and Sons,5814,6983 Knight Ferry,Robertbury,FM,96454,US,online,2025-12-28 11:59:26.109511
MERCH_000100,"Kelley, Kelley and Hamilton",5999,37431 Bush Valley,Simmonsfurt,MT,11362,US,offline,2024-09-20 15:50:25.120514
MERCH_000101,"Bishop, Mitchell and Murphy",5912,863 Phillips Greens Apt. 144,Port Aaronmouth,MS,34424,US,online,2025-11-17 23:22:59.758752
MERCH_000102,"Simmons, Martinez and Lewis",5999,21159 Sullivan Parkways,Michaelview,NE,09618,US,offline,2025-06-27 01:38:21.166834
MERCH_000103,Solomon Ltd,5311,4084 Christopher Roads Suite 611,Daniellefurt,WV,56412,US,offline,2025-09-13 13:35:20.004780
MERCH_000104,Washington-Allen,5814,244 Chad Crescent,Torrestown,SD,64503,US,offline,2024-07-29 03:33:50.158278
MERCH_000105,"Perez, Lynch and Valdez",5999,14821 Hernandez Motorway Apt. 560,Port Territown,RI,78922,US,offline,2025-02-07 06:58:26.303286
MERCH_000106,"Johnson, Moss and Ortiz",5541,8368 Cynthia Gateway,Port Rachel,MA,26825,US,offline,2024-07-03 14:41:21.443625
MERCH_000107,Moon-Thornton,5812,7491 Stark Falls,Fordshire,WA,20950,US,offline,2024-03-08 20:31:35.366915
MERCH_000108,Sanchez Group,5999,7968 Todd Flats Suite 491,East Maryfurt,AK,66728,US,offline,2024-07-01 10:04:55.551949
MERCH_000109,Maldonado Ltd,5812,450 Sandy Circle,Christinaburgh,LA,89170,US,offline,2024-12-21 09:35:33.483893
MERCH_000110,"Hinton, Jones and Jones",6011,4530 Lisa Spur Apt. 161,Heatherchester,DC,10173,US,offline,2025-01-01 21:41:35.068999
MERCH_000111,Farmer-Robertson,5999,2108 Mcbride Plains,Port Jadeside,GU,41711,US,offline,2025-08-20 04:27:56.550689
MERCH_000112,Carr-Mayo,5912,107 Pacheco Heights,West Ricky,SD,49783,US,online,2025-01-18 02:06:20.424727
MERCH_000113,Hernandez Ltd,6011,5940 Saunders Lock Apt. 870,Lake Edward,OK,04166,US,offline,2024-06-04 00:26:15.376400
MERCH_000114,Lynch Ltd,5541,499 Massey Route,North Garyside,NV,31178,US,online,2025-11-10 22:04:49.877271
MERCH_000115,"Ramirez, Miller and Harris",4121,04722 Morris Mall,North Alex,TX,64494,US,offline,2025-09-30 06:53:04.761150
MERCH_000116,Werner Inc,5311,59851 Melissa Station Apt. 132,Seanfurt,IN,94218,US,offline,2024-05-19 06:41:40.612660
MERCH_000117,Johnson-Stark,5812,5628 Murphy Forge Suite 676,Hullside,WA,23621,US,offline,2025-07-29 06:13:06.167562
MERCH_000118,West Group,5912,967 Brian Island,Leslieberg,KY,60833,US,online,2024-11-28 09:23:36.951055
MERCH_000119,"Valenzuela, Fisher and Hughes",5912,620 Erin Skyway,North Cristianborough,SC,60675,US,online,2024-08-02 06:10:45.024800
MERCH_000120,"Dougherty, Navarro and Hobbs",5311,9125 Jeffrey Flats Suite 992,Savagestad,ND,45127,US,online,2025-09-12 11:35:36.015813
MERCH_000121,Gardner Inc,5814,247 Angela Islands,Christopherton,WA,72041,US,offline,2026-02-03 02:21:21.461120
MERCH_000122,Morris-Williamson,5814,554 Joseph Ford Apt. 207,Taylormouth,LA,56923,US,online,2026-02-17 08:25:08.160782
MERCH_000123,Nunez-Cameron,6011,0522 Adam Summit Apt. 653,Collierfort,OR,34231,US,offline,2025-08-30 22:24:15.061274
MERCH_000124,"Scott, Li and Lewis",6011,9229 Paul Fork,Masseyberg,NJ,98062,US,offline,2025-04-14 05:03:39.221462
MERCH_000125,Odonnell Group,4814,127 Brenda Pass,Lake Michelle,OR,50528,US,offline,2024-02-27 10:06:37.402421
MERCH_000126,Rodriguez-Wilson,5912,3595 Scott Green,Hurleyview,PW,14542,US,online,2026-01-21 15:43:40.686640
MERCH_000127,Gonzalez-Peterson,5912,8878 Cheyenne Rapid Apt. 199,South Maryville,GU,71501,US,online,2024-07-20 12:50:01.366700
MERCH_000128,Ryan Group,5999,10129 Burton Square Apt. 308,West Roger,TN,07088,US,offline,2025-02-21 19:45:09.350350
MERCH_000129,Matthews-Woods,5812,430 Denise Rue Suite 905,Hutchinsonhaven,NC,20511,US,offline,2024-03-18 20:54:55.895237
MERCH_000130,Russell-Mcdaniel,5814,2650 Alex Islands,North Sabrina,ID,25946,US,online,2025-07-14 22:47:37.731607
MERCH_000131,Lopez-Moon,5311,408 Brandon Dam,Port Markborough,WY,21669,US,offline,2025-11-18 14:31:16.978855
MERCH_000132,"Grimes, Davis and White",5812,703 Mathews Street Suite 599,Lake Williamview,IA,85858,US,online,2026-02-09 08:12:28.345690
MERCH_000133,"Moreno, Barry and Kim",5814,10951 Paula Track,Lake Benjaminton,OR,98916,US,online,2024-04-04 04:52:32.561096
MERCH_000134,Harrison LLC,4814,179 Dawn Cape Suite 849,West Jodi,IL,87656,US,offline,2025-07-15 06:07:18.590904
MERCH_000135,Hampton Inc,4814,699 Kenneth Fords,Melendezchester,VI,80140,US,online,2024-11-16 06:38:55.919644
MERCH_000136,"White, Ramirez and Perez",4121,9743 Howe Track Apt. 590,Lake Michael,NJ,88170,US,offline,2024-03-10 01:39:14.170790
MERCH_000137,"Watson, Chandler and West",5814,04404 Becky Loop Apt. 232,Port Manuel,IA,58179,US,offline,2025-05-29 00:55:36.199274
MERCH_000138,Walker LLC,5311,869 Jones Junction Apt. 182,West Victor,MO,12374,US,online,2025-10-03 02:34:29.757982
MERCH_000139,Williams-Barnett,5812,13009 Jeffrey Creek,Port David,SC,55369,US,offline,2024-07-21 20:51:59.071576
MERCH_000140,Palmer-Hampton,4814,048 Whitehead Forges,Comptonmouth,CA,72454,US,offline,2024-12-22 10:51:13.006548
MERCH_000141,Phelps Inc,5814,16365 Thomas Wells,North Jason,IN,19838,US,offline,2025-02-25 21:29:48.090649
MERCH_000142,"Wallace, Brown and Foster",5812,208 Hall Fort,West Jameshaven,MT,17683,US,online,2024-07-03 03:18:05.532389
MERCH_000143,Hill LLC,4814,94023 Holland Mills Apt. 105,Port Cassandra,PA,04870,US,offline,2024-11-07 11:02:36.129631
MERCH_000144,Perez-Olson,6011,55319 Joyce Ville Apt. 232,West Mariehaven,KS,10724,US,offline,2025-12-06 02:08:01.770580
MERCH_000145,"Mercer, Sandoval and Rodriguez",5999,167 Drake Drive,Ricardochester,PA,63427,US,offline,2025-04-17 13:52:55.028980
MERCH_000146,"Gonzalez, Norman and Ramirez",5541,179 Jenkins Roads Suite 047,Nelsonstad,WY,70100,US,online,2026-02-25 05:43:07.619380
MERCH_000147,Rosales Group,5541,06969 Glover Drive Apt. 806,Taylorchester,MA,41747,US,offline,2025-04-25 19:05:18.031372
MERCH_000148,Wilkinson PLC,5912,83834 Valentine Keys,Velasquezchester,UT,77127,US,offline,2025-01-02 15:54:46.841055
MERCH_000149,Martin LLC,4121,78222 Campbell Fort,Lake Laurenchester,MD,94741,US,online,2024-03-13 10:01:05.030310
MERCH_000150,"Carson, Davis and Ingram",5311,021 Stephanie Island Apt. 498,Santanamouth,TX,19412,US,online,2025-10-10 18:43:48.387652
MERCH_000151,Horn LLC,4814,6391 Stevenson Avenue Suite 984,Wilsonmouth,WV,69203,US,offline,2024-05-06 09:36:44.720861
MERCH_000152,Fowler and Sons,5411,8032 Ramos Valley Suite 520,Tonyaville,CT,11757,US,online,2024-10-25 18:09:40.032659
MERCH_000153,Higgins and Sons,4814,21610 Cruz Shoal,South Matthewville,VA,93908,US,online,2025-06-05 18:08:16.868101
MERCH_000154,Hoffman-Fleming,5814,300 Allen Expressway Apt. 337,New Christopherville,SD,22768,US,online,2025-05-09 17:42:06.459877
MERCH_000155,Harper-West,4814,2005 Clark Turnpike Apt. 494,West Eric,VT,01945,US,offline,2025-04-30 18:05:52.981990
MERCH_000156,Allen-Ruiz,5812,7705 Bishop Common,Laurachester,NE,38031,US,offline,2025-03-19 07:28:07.714706
MERCH_000157,Wood PLC,5411,79844 Doyle Underpass Apt. 410,New Nathanieltown,TN,49834,US,offline,2025-03-02 17:43:01.140966
MERCH_000158,Buchanan-Jones,4121,468 John Cliff Suite 031,South Maryburgh,AS,53807,US,offline,2025-04-18 22:22:22.990854
MERCH_000159,Schroeder-Leonard,6011,78947 Meyers Inlet Suite 703,North Stephanieside,KS,78639,US,online,2025-01-12 19:21:12.036867
MERCH_000160,Shaw PLC,5411,96374 Kristi Plain Suite 545,East William,PW,74530,US,offline,2025-04-23 01:01:22.012004
MERCH_000161,Hess Group,4121,927 Matthew Spur,Port Adamshire,AK,15051,US,offline,2025-09-29 02:38:56.354724
MERCH_000162,Summers Group,5814,335 Robert Well Suite 901,West Miguelhaven,LA,86924,US,offline,2026-01-10 02:10:16.934529
MERCH_000163,King-Taylor,5912,955 David Fields Apt. 526,Hannahstad,AS,25785,US,online,2026-02-13 20:23:39.202783
MERCH_000164,"Becker, Lucas and York",4121,83449 Johnston Forest Suite 655,East Cheryl,IN,05994,US,online,2024-01-23 03:11:33.826887
MERCH_000165,Weaver and Sons,5541,9964 Alvarado Manor,East Ryanhaven,SD,41618,US,offline,2024-09-01 01:48:08.601046
MERCH_000166,Bowen Inc,5411,0038 Lewis Green,West Wanda,SC,14360,US,offline,2025-09-22 06:46:16.113996
MERCH_000167,Harvey Inc,5999,92640 Smith View,Valdezport,CT,72286,US,online,2025-09-01 19:55:00.932297
MERCH_000168,Cross Ltd,5999,91836 Donna Center,Port Carolport,MH,86910,US,offline,2025-04-13 04:23:47.018012
MERCH_000169,"Wiley, Wilson and Conley",6011,768 Brown Ports,Jasonmouth,GA,71755,US,offline,2024-07-15 14:08:19.450671
MERCH_000170,Bishop Inc,5814,798 Bates Bridge Suite 677,East John,VA,13485,US,offline,2024-07-19 14:17:16.152358
MERCH_000171,Clark-Adams,5814,310 Angel Village,Port Megan,AK,72426,US,offline,2025-12-25 08:13:27.822627
MERCH_000172,"Cisneros, Clark and Garcia",5912,4094 Jill Branch Suite 994,Danaton,IN,39005,US,offline,2024-08-14 13:24:11.585761
MERCH_000173,Reid-Rodriguez,4121,05686 Oliver Crescent,South Carltown,TX,17420,US,offline,2025-10-22 16:30:51.253169
MERCH_000174,Henry and Sons,5999,8085 Robinson Ford,Lake Angela,WA,66956,US,offline,2024-01-20 22:24:41.086703
MERCH_000175,"Hunt, Jackson and Williams",5812,16112 Joseph Inlet,Lake Jon,MO,39926,US,online,2025-05-14 10:52:40.812629
MERCH_000176,Watson-Harrell,5541,453 Martinez Valleys,New Jamieton,OK,92784,US,offline,2024-03-10 21:27:14.534259
MERCH_000177,"Anderson, Aguilar and Miller",5411,4783 Hodges Ridge Suite 096,Joetown,IN,75686,US,online,2025-03-28 19:44:02.344898
MERCH_000178,"Curtis, Burton and Blake",5814,5610 Fletcher Fort Suite 395,Jeremyhaven,WV,62052,US,online,2024-10-07 17:11:50.647274
MERCH_000179,Gomez-Hamilton,5411,71518 Scott Overpass Apt. 596,South Kathryn,AS,08777,US,online,2026-02-09 21:38:14.819477
MERCH_000180,Wilson-Castaneda,5311,18352 Ortiz Drive Apt. 337,North Angeltown,CO,24481,US,offline,2026-01-13 16:11:55.252951
MERCH_000181,Barnes-Moore,5411,398 Santos Expressway Suite 515,New Alanview,NH,55886,US,online,2025-02-13 22:10:25.789685
MERCH_000182,Stevens-Hicks,5814,9358 Gardner Bypass,Mathewburgh,AR,43173,US,offline,2024-09-16 21:56:10.817996
MERCH_000183,Ramos Group,5812,787 Roberts Forges,Dixonfort,NV,22967,US,offline,2024-08-02 10:39:57.618590
MERCH_000184,"Simmons, Moore and Lewis",5814,6269 Ruiz Corners,South Aaron,CO,44172,US,online,2024-04-14 23:31:13.578396
MERCH_000185,Walker and Sons,5814,2355 Perez Greens,Kevinview,SD,05293,US,online,2024-06-04 20:40:05.340192
MERCH_000186,"Reed, Smith and Beck",5411,616 Timothy Manors Suite 620,East Robert,NV,49874,US,offline,2024-02-24 11:00:59.607173
MERCH_000187,"Martin, Marsh and Gonzalez",5999,8543 Curry Parks Suite 187,Floydside,IN,83779,US,online,2024-05-14 10:32:27.370506
MERCH_000188,"Cruz, Thompson and Foster",5411,07472 Karen Road Apt. 725,New Todd,ID,54078,US,offline,2024-10-09 13:08:15.197445
MERCH_000189,"Griffin, Harrington and Garcia",6011,829 Mercado Orchard,Lake Mathew,VT,90275,US,offline,2026-01-10 15:08:07.272870
MERCH_000190,"Cox, Levine and Thomas",5311,5045 Hurley Lodge,Lake Ninahaven,DC,32464,US,offline,2024-10-10 09:17:16.020442
MERCH_000191,Martinez-English,4121,53909 Shannon Loaf,West Jonathan,IA,60864,US,online,2026-01-09 22:33:43.124124
MERCH_000192,"Garcia, Sampson and Johnson",5999,28433 Hoffman Ranch,Lake Scottview,DC,85836,US,offline,2024-06-05 21:46:02.345870
MERCH_000193,"Perez, Singh and Baker",4121,034 Natalie Orchard,Joelshire,NV,23417,US,online,2025-03-26 02:15:20.642824
MERCH_000194,"Erickson, Baker and Gilmore",5912,643 Theresa Junction Apt. 533,Brownshire,OH,19384,US,offline,2026-02-21 13:36:17.955374
MERCH_000195,"Cruz, Weber and Mcgrath",5311,28474 Sara Spurs Suite 149,Porterton,OK,71127,US,online,2024-11-18 02:02:46.765219
MERCH_000196,Young-Hernandez,6011,9076 Dillon Meadows Suite 740,West Davidmouth,UT,17446,US,offline,2024-10-31 22:51:57.250159
MERCH_000197,Griffin Group,4814,22823 Thompson Landing Suite 979,Lake Amandaburgh,OK,90712,US,offline,2024-01-09 04:10:19.343258
MERCH_000198,Martin-Allen,6011,392 James Forge Suite 562,West Todd,ID,13893,US,offline,2024-01-18 06:10:30.902027
MERCH_000199,"Rodriguez, Morris and Parsons",4814,466 Scott Harbors Suite 939,Joannastad,MA,58679,US,online,2025-10-13 09:58:18.491360
