account_id,customer_id,product_id,credit_limit,apr,cycle_day,open_date,close_date,status,created_at
ACC_000054,CUST_000959,SILVER,1000,0.2068,4,2024-01-12,,active,2025-10-20 00:56:08.466645
ACC_000055,CUST_000611,GOLD,25000,0.2413,10,2024-02-06,,active,2026-02-11 19:20:20.359525
ACC_000056,CUST_000020,GOLD,1000,0.2215,6,2024-01-13,,active,2024-11-01 12:46:34.824941
ACC_000057,CUST_000143,PLATINUM,25000,0.1696,14,2024-11-16,,active,2025-12-02 13:39:44.355162
ACC_000058,CUST_000239,GOLD,5000,0.1594,1,2025-02-23,,active,2025-11-16 17:34:53.035138
ACC_000059,CUST_000612,GOLD,15000,0.2499,20,2024-09-02,,active,2024-09-06 00:17:55.278991
ACC_000060,CUST_000137,GOLD,10000,0.1741,14,2025-02-01,,active,2026-02-27 14:28:48.117198
ACC_000061,CUST_000623,SILVER,2500,0.1873,23,2024-03-11,,active,2024-12-05 10:02:59.543260
ACC_000062,CUST_000225,BUSINESS,2500,0.1962,25,2024-05-20,,active,2024-10-21 08:52:41.822727
ACC_000063,CUST_000175,GOLD,5000,0.2217,15,2024-12-19,,active,2025-11-23 11:15:18.997703
ACC_000064,CUST_000459,SILVER,10000,0.2409,27,2024-10-14,,active,2025-06-04 12:18:04.091392
ACC_000065,CUST_000662,PLATINUM,5000,0.1952,6,2025-01-29,,active,2025-01-09 12:13:33.449967
ACC_000066,CUST_000250,SILVER,1000,0.1983,11,2024-11-15,,active,2024-02-12 19:49:22.072614
ACC_000067,CUST_000111,GOLD,10000,0.1504,18,2024-05-05,,closed,2024-04-03 03:49:45.785306
ACC_000068,CUST_000443,SILVER,2500,0.1794,26,2024-12-21,,active,2025-07-28 02:22:31.328921
ACC_000069,CUST_000927,BUSINESS,2500,0.1873,12,2024-03-30,,active,2024-02-18 11:38:19.048322
ACC_000070,CUST_000338,GOLD,1000,0.2195,26,2024-05-15,,active,2025-03-09 08:09:17.091254
ACC_000071,CUST_000059,BUSINESS,1000,0.2389,25,2024-05-23,,active,2025-10-26 18:30:10.291144
ACC_000072,CUST_000719,GOLD,25000,0.1666,25,2024-04-16,,active,2025-01-18 00:02:55.279753
ACC_000073,CUST_000160,PLATINUM,1000,0.1910,12,2024-01-18,2025-10-01,active,2025-01-21 14:47:03.654236
ACC_000074,CUST_000293,PLATINUM,5000,0.1793,17,2024-11-08,,active,2024-10-03 18:59:50.629471
ACC_000075,CUST_000642,BUSINESS,10000,0.1558,18,2024-02-03,,closed,2024-07-21 19:57:36.282564
ACC_000076,CUST_000544,SILVER,25000,0.1706,6,2024-02-05,,active,2024-03-03 13:50:18.686278
ACC_000077,CUST_000921,SILVER,15000,0.1841,9,2025-01-18,,active,2024-04-15 17:41:08.806343
ACC_000078,CUST_000088,BUSINESS,5000,0.2169,8,2025-01-30,,active,2025-03-10 03:28:42.220484
ACC_000079,CUST_000300,GOLD,2500,0.2212,4,2024-12-21,,active,2025-10-03 05:22:55.131968
ACC_000080,CUST_000360,BUSINESS,500,0.2031,11,2024-12-17,,closed,2025-06-08 12:26:26.383135
ACC_000081,CUST_000428,GOLD,15000,0.2434,16,2024-08-12,,active,2024-03-09 05:40:08.127183
ACC_000082,CUST_000433,SILVER,5000,0.1941,18,2024-07-23,,active,2024-06-16 19:06:53.149634
ACC_000083,CUST_000398,BUSINESS,1000,0.1695,7,2024-12-27,2024-12-29,active,2025-09-29 16:29:16.687518
ACC_000084,CUST_000617,BUSINESS,15000,0.1901,9,2024-02-16,2024-08-08,active,2024-02-20 01:59:19.417974
ACC_000085,CUST_000815,SILVER,500,0.2198,10,2024-08-18,,active,2025-10-06 12:25:42.165825
ACC_000086,CUST_000441,PLATINUM,5000,0.1738,7,2024-05-29,,active,2026-01-09 22:28:04.574366
ACC_000087,CUST_000285,BUSINESS,10000,0.2228,6,2024-04-06,,active,2024-05-10 02:26:37.796634
ACC_000088,CUST_000192,SILVER,5000,0.2089,1,2024-12-03,,active,2026-02-01 05:05:47.768912
ACC_000089,CUST_000028,BUSINESS,25000,0.1801,2,2024-07-14,,active,2025-10-24 05:07:14.455442
ACC_000090,CUST_000895,SILVER,2500,0.1696,8,2024-02-20,2024-01-30,active,2024-10-22 19:19:19.909317
ACC_000091,CUST_000524,SILVER,25000,0.1950,2,2024-05-18,,active,2025-09-11 15:06:39.190200
ACC_000092,CUST_000541,GOLD,10000,0.1602,5,2024-10-14,,active,2026-02-28 14:05:36.380902
ACC_000093,CUST_000718,BUSINESS,500,0.2199,20,2024-03-27,,active,2024-05-02 05:47:19.257336
ACC_000094,CUST_000221,BUSINESS,5000,0.2142,13,2025-02-17,,active,2026-02-05 05:59:30.431749
ACC_000095,CUST_000747,SILVER,500,0.2299,6,2024-05-06,,active,2024-09-29 17:43:31.731379
ACC_000096,CUST_000146,PLATINUM,15000,0.2497,1,2024-02-19,,active,2024-03-09 00:48:47.872222
ACC_000097,CUST_000311,GOLD,1000,0.1769,12,2024-11-16,,active,2024-04-26 07:00:54.441650
ACC_000098,CUST_000152,BUSINESS,5000,0.2085,3,2024-09-24,,closed,2025-04-24 10:34:54.480102
ACC_000099,CUST_000257,PLATINUM,10000,0.2217,25,2024-09-10,,active,2024-06-05 09:24:33.690378
ACC_000100,CUST_000321,SILVER,15000,0.2485,7,2024-11-24,,active,2026-02-18 03:49:49.548874
ACC_000101,CUST_000231,SILVER,5000,0.1553,10,2024-03-25,,active,2025-07-07 17:09:15.847617
ACC_000102,CUST_000017,PLATINUM,2500,0.1761,24,2024-08-18,,active,2025-01-27 03:31:54.105287
ACC_000103,CUST_000301,PLATINUM,5000,0.1895,26,2024-10-30,,active,2026-02-25 00:08:17.657072
ACC_000104,CUST_000251,GOLD,2500,0.2162,23,2024-06-15,,active,2025-07-17 18:51:43.175103
ACC_000105,CUST_000816,GOLD,15000,0.2461,5,2024-07-19,,active,2025-10-16 09:43:13.533596
ACC_000106,CUST_000259,PLATINUM,10000,0.2438,13,2024-02-15,,active,2024-07-05 09:56:40.209870
ACC_000107,CUST_000676,PLATINUM,2500,0.1655,18,2025-01-09,,active,2026-02-18 05:49:24.625571
ACC_000108,CUST_000533,PLATINUM,25000,0.1846,18,2024-01-15,,active,2024-01-17 11:02:00.657089
ACC_000109,CUST_000453,SILVER,25000,0.1578,15,2024-03-10,,active,2024-10-13 00:05:23.065734
ACC_000110,CUST_000574,GOLD,25000,0.2351,17,2024-06-25,,active,2025-08-28 22:06:05.564487
ACC_000111,CUST_000072,GOLD,10000,0.1580,10,2024-06-06,,closed,2024-06-02 21:27:08.446783
ACC_000112,CUST_000678,PLATINUM,500,0.2327,2,2025-01-22,,active,2024-09-04 01:08:27.651790
ACC_000113,CUST_000810,BUSINESS,2500,0.1712,1,2024-02-12,,active,2024-10-30 18:11:40.079427
ACC_000114,CUST_000342,GOLD,2500,0.2489,25,2024-01-06,,active,2025-02-26 12:27:10.199833
ACC_000115,CUST_000249,BUSINESS,500,0.2388,18,2024-12-20,,active,2025-11-15 01:25:59.852808
ACC_000116,CUST_000546,GOLD,25000,0.2154,23,2025-01-09,,active,2024-01-12 21:23:35.065711
ACC_000117,CUST_000916,PLATINUM,15000,0.1599,25,2024-09-12,,active,2024-08-08 14:23:59.581968
ACC_000118,CUST_000322,GOLD,10000,0.2153,1,2024-10-05,,active,2024-01-30 15:24:59.989692
ACC_000119,CUST_000392,SILVER,1000,0.1545,21,2024-10-14,,active,2025-11-03 03:34:49.553904
ACC_000120,CUST_000975,GOLD,500,0.1503,21,2025-02-26,,active,2025-02-12 07:07:19.945513
ACC_000121,CUST_000040,GOLD,15000,0.1835,17,2024-11-26,,active,2025-11-15 17:41:12.650860
ACC_000122,CUST_000790,GOLD,10000,0.1531,14,2024-05-04,,active,2024-08-18 00:54:48.365016
ACC_000123,CUST_000892,PLATINUM,500,0.1863,2,2024-05-12,,active,2025-07-17 15:43:38.405170
ACC_000124,CUST_000177,BUSINESS,2500,0.2472,19,2024-08-21,,active,2025-05-05 01:23:33.568812
ACC_000125,CUST_000047,SILVER,2500,0.2252,26,2024-11-16,2025-01-28,active,2024-06-11 01:12:36.856674
ACC_000126,CUST_000133,SILVER,10000,0.1978,8,2024-11-28,,active,2025-07-05 03:38:36.435994
ACC_000127,CUST_000154,SILVER,2500,0.2263,17,2024-02-12,,active,2025-01-04 12:25:15.606720
ACC_000128,CUST_000674,SILVER,25000,0.1739,7,2024-11-06,,active,2025-12-28 11:06:46.382347
ACC_000129,CUST_000655,BUSINESS,15000,0.2140,22,2024-10-17,,active,2024-06-16 19:07:05.536681
ACC_000130,CUST_000113,BUSINESS,1000,0.2162,26,2024-03-08,,active,2024-03-01 06:21:02.640279
ACC_000131,CUST_000968,GOLD,2500,0.1808,12,2024-05-31,,active,2024-09-24 06:06:50.079328
ACC_000132,CUST_000239,BUSINESS,15000,0.2199,27,2025-01-08,,active,2025-04-14 02:58:38.529702
ACC_000133,CUST_000175,PLATINUM,25000,0.1929,15,2024-02-22,,active,2024-02-15 22:57:16.953433
ACC_000134,CUST_000398,BUSINESS,500,0.2084,27,2024-06-29,2025-11-15,active,2024-03-09 18:25:17.153879
ACC_000135,CUST_000309,BUSINESS,5000,0.2356,13,2024-06-23,,active,2025-03-25 15:59:00.560890
ACC_000136,CUST_000705,GOLD,1000,0.1545,26,2024-06-30,,active,2025-02-15 23:30:05.429358
ACC_000137,CUST_000052,BUSINESS,500,0.1568,14,2024-07-01,,active,2024-07-03 16:50:18.428205
ACC_000138,CUST_000778,SILVER,1000,0.2236,2,2024-08-23,,active,2025-09-23 23:10:44.668349
ACC_000139,CUST_000311,PLATINUM,2500,0.1751,15,2024-02-19,2025-08-26,active,2025-05-20 14:50:09.385762
ACC_000140,CUST_000562,SILVER,10000,0.2491,28,2024-12-25,,closed,2024-07-01 17:29:14.801242
ACC_000141,CUST_000440,PLATINUM,10000,0.2132,17,2025-02-28,,active,2024-04-15 04:08:31.986554
ACC_000142,CUST_000009,SILVER,2500,0.1769,4,2024-12-25,,active,2025-12-12 13:36:37.959371
ACC_000143,CUST_000616,PLATINUM,500,0.2482,18,2025-02-21,,active,2026-01-26 17:35:36.546459
ACC_000144,CUST_000456,BUSINESS,5000,0.1904,4,2025-02-01,,active,2025-09-17 09:03:42.737870
ACC_000145,CUST_000849,SILVER,1000,0.1902,17,2024-09-26,,active,2025-02-06 04:52:22.002217
ACC_000146,CUST_000157,BUSINESS,2500,0.1841,26,2024-03-04,,active,2024-08-02 07:34:00.292906
ACC_000147,CUST_000479,SILVER,5000,0.1921,5,2024-01-20,,active,2025-06-27 16:55:45.207008
ACC_000148,CUST_000977,GOLD,5000,0.2355,16,2024-01-22,,active,2024-10-14 21:54:21.617900
ACC_000149,CUST_000694,PLATINUM,10000,0.2108,12,2024-03-30,,active,2025-08-30 16:45:38.446210
ACC_000150,CUST_000531,BUSINESS,500,0.1956,18,2024-06-25,,active,2024-01-04 23:11:52.892482
ACC_000151,CUST_000876,BUSINESS,5000,0.2417,4,2024-01-10,,active,2024-11-18 23:10:29.432712
ACC_000152,CUST_000295,BUSINESS,5000,0.2262,16,2024-02-18,,active,2024-09-13 09:40:52.935765
ACC_000153,CUST_000533,PLATINUM,10000,0.2108,17,2025-01-25,,active,2024-04-07 21:06:13.000511
ACC_000154,CUST_000137,PLATINUM,15000,0.1586,10,2024-04-24,,active,2024-08-23 02:35:20.968794
ACC_000155,CUST_000667,PLATINUM,15000,0.1734,18,2024-09-08,,active,2025-11-11 03:00:48.338768
ACC_000156,CUST_000281,SILVER,25000,0.1729,16,2024-12-06,,active,2024-11-13 18:14:44.857508
ACC_000157,CUST_000231,PLATINUM,15000,0.1633,28,2024-03-21,,active,2025-08-20 15:05:05.861184
ACC_000158,CUST_000570,BUSINESS,500,0.2159,2,2024-09-07,,active,2025-06-07 09:33:31.228777
ACC_000159,CUST_000767,SILVER,5000,0.1521,1,2024-04-11,,active,2025-07-14 08:51:41.237317
ACC_000160,CUST_000518,BUSINESS,5000,0.2359,7,2024-12-08,,closed,2026-02-27 01:22:37.352058
ACC_000161,CUST_000715,PLATINUM,5000,0.1814,27,2024-05-02,2025-05-08,active,2024-12-27 12:54:58.390499
ACC_000162,CUST_000568,PLATINUM,5000,0.2171,9,2025-01-19,,active,2026-01-05 09:22:17.354684
ACC_000163,CUST_000623,GOLD,2500,0.2351,5,2024-12-23,,active,2024-07-07 01:45:52.744069
ACC_000164,CUST_000882,SILVER,25000,0.1694,13,2024-09-06,,active,2024-11-17 22:52:31.892368
ACC_000165,CUST_000545,GOLD,2500,0.2087,21,2025-01-08,2025-07-01,active,2025-01-17 13:26:18.309183
ACC_000166,CUST_000738,BUSINESS,15000,0.2069,7,2024-11-10,,active,2024-10-17 19:16:56.522781
ACC_000167,CUST_000234,SILVER,15000,0.2112,5,2024-02-02,,active,2025-09-02 01:20:47.975606
ACC_000168,CUST_000482,GOLD,10000,0.1758,15,2024-01-30,,active,2024-01-16 20:43:34.791775
ACC_000169,CUST_000655,SILVER,2500,0.2097,3,2024-11-15,,active,2025-07-18 01:14:06.356446
ACC_000170,CUST_000773,PLATINUM,10000,0.2235,1,2024-06-08,,active,2024-02-11 01:27:45.615347
ACC_000171,CUST_000688,BUSINESS,500,0.2169,3,2025-02-13,,active,2024-12-20 20:38:02.726333
ACC_000172,CUST_000932,BUSINESS,1000,0.2411,26,2024-11-14,,active,2026-02-26 02:39:11.259700
ACC_000173,CUST_000743,GOLD,5000,0.1841,8,2024-07-07,,active,2025-04-20 21:59:30.216868
ACC_000174,CUST_000703,BUSINESS,500,0.2334,5,2024-08-26,,active,2024-08-24 07:53:46.160056
ACC_000175,CUST_000413,SILVER,15000,0.2363,22,2025-02-14,,active,2025-12-28 05:15:38.844198
ACC_000176,CUST_000176,GOLD,2500,0.2241,6,2024-04-27,,active,2025-03-22 12:05:45.028553
ACC_000177,CUST_000213,PLATINUM,1000,0.1558,6,2024-04-21,,active,2025-08-01 21:09:11.950043
ACC_000178,CUST_000055,PLATINUM,1000,0.2070,2,2024-02-12,,active,2024-03-14 12:49:16.861552
ACC_000179,CUST_000167,GOLD,5000,0.2060,9,2024-11-30,,active,2024-10-08 08:06:15.166808
ACC_000180,CUST_000986,BUSINESS,5000,0.1985,17,2024-03-28,,active,2024-08-23 21:41:52.319984
ACC_000181,CUST_000308,BUSINESS,500,0.2156,11,2024-05-17,,active,2025-06-09 14:41:08.891909
ACC_000182,CUST_000628,PLATINUM,1000,0.2225,13,2024-12-19,,active,2025-08-07 05:22:42.146019
ACC_000183,CUST_000970,BUSINESS,500,0.2291,26,2024-01-28,,active,2024-03-06 09:01:44.775054
ACC_000184,CUST_000758,GOLD,5000,0.2364,1,2024-03-28,,active,2024-10-20 19:54:51.281448
ACC_000185,CUST_000862,GOLD,15000,0.2304,7,2024-10-25,,active,2024-11-29 08:50:40.037294
ACC_000186,CUST_000768,SILVER,2500,0.2390,21,2024-04-06,,active,2024-04-13 06:30:20.239850
ACC_000187,CUST_000465,GOLD,500,0.2374,1,2024-09-24,,active,2025-09-16 05:27:34.366864
ACC_000188,CUST_000005,SILVER,10000,0.2156,16,2024-08-31,2024-07-18,active,2025-01-28 05:14:46.397494
ACC_000189,CUST_000094,BUSINESS,15000,0.1615,28,2024-06-26,,active,2026-02-13 19:26:13.825823
ACC_000190,CUST_000262,GOLD,15000,0.2457,21,2024-11-17,,active,2024-03-30 03:43:33.354875
ACC_000191,CUST_000868,BUSINESS,500,0.2164,4,2024-03-28,,active,2025-03-26 07:57:33.972470
ACC_000192,CUST_000020,GOLD,10000,0.1730,1,2024-05-30,,active,2024-07-14 18:26:21.295963
ACC_000193,CUST_000760,GOLD,25000,0.1503,13,2024-02-08,,active,2025-06-28 09:22:13.216126
ACC_000194,CUST_000103,BUSINESS,10000,0.1746,16,2024-05-26,,active,2024-01-08 07:07:50.897066
ACC_000195,CUST_000731,SILVER,25000,0.2193,18,2024-02-26,,active,2024-11-26 22:16:23.095082
ACC_000196,CUST_000651,BUSINESS,1000,0.1947,25,2024-09-22,,active,2024-08-01 23:58:34.619118
ACC_000197,CUST_000241,BUSINESS,15000,0.1634,24,2025-02-12,,active,2025-08-13 23:53:39.048629
ACC_000198,CUST_000637,BUSINESS,5000,0.1788,16,2025-02-05,,active,2024-07-02 11:57:03.364341
ACC_000199,CUST_000592,PLATINUM,2500,0.2493,6,2024-01-27,,active,2024-03-10 09:16:40.383584
ACC_000200,CUST_000020,PLATINUM,500,0.1585,24,2024-02-09,,active,2024-05-19 09:00:02.766053
ACC_000201,CUST_000018,BUSINESS,10000,0.2323,21,2024-04-23,,active,2024-08-05 14:11:25.433649
ACC_000202,CUST_000821,BUSINESS,10000,0.1900,20,2024-05-02,,active,2025-06-28 00:12:31.970654
ACC_000203,CUST_000419,PLATINUM,500,0.1813,13,2024-03-08,,active,2024-10-31 08:44:09.176110
ACC_000204,CUST_000629,PLATINUM,500,0.1635,16,2024-10-10,,active,2024-11-08 23:11:16.724125
ACC_000205,CUST_000438,SILVER,15000,0.1646,20,2024-07-12,,active,2025-06-17 15:00:28.020844
ACC_000206,CUST_000484,BUSINESS,1000,0.2041,8,2025-02-21,,closed,2025-09-28 19:44:23.756828
ACC_000207,CUST_000728,BUSINESS,10000,0.2087,3,2025-02-07,,active,2025-05-05 08:26:18.473428
ACC_000208,CUST_000431,SILVER,500,0.1796,25,2024-04-21,,active,2025-09-25 08:10:39.581457
ACC_000209,CUST_000953,SILVER,1000,0.1784,23,2024-03-10,,active,2024-09-04 07:48:29.373100
ACC_000210,CUST_000262,GOLD,10000,0.1701,25,2024-10-27,,active,2024-08-21 09:30:10.505450
ACC_000211,CUST_000593,SILVER,25000,0.1542,12,2024-09-17,,closed,2024-10-04 19:30:39.281436
ACC_000212,CUST_000851,SILVER,500,0.1519,28,2024-04-03,,active,2024-06-27 20:21:46.556956
ACC_000213,CUST_000036,PLATINUM,1000,0.1746,20,2024-12-29,2025-09-22,active,2024-03-17 22:58:05.056266
ACC_000214,CUST_000992,GOLD,10000,0.2077,20,2024-08-18,,active,2024-07-02 13:14:06.076436
ACC_000215,CUST_000268,SILVER,10000,0.1831,15,2025-01-08,,active,2026-01-07 01:49:50.917946
ACC_000216,CUST_000007,SILVER,5000,0.1909,27,2024-10-17,,active,2025-02-06 19:16:17.199940
ACC_000217,CUST_000491,GOLD,15000,0.1806,6,2024-09-27,,active,2024-04-29 18:48:06.903271
ACC_000218,CUST_000460,PLATINUM,2500,0.1781,26,2025-01-26,,active,2024-03-22 07:05:12.609946
ACC_000219,CUST_000213,PLATINUM,10000,0.1891,4,2024-07-15,,active,2025-10-07 09:07:05.198848
ACC_000220,CUST_000315,SILVER,2500,0.1637,12,2024-06-08,,active,2025-05-25 06:32:01.638330
ACC_000221,CUST_000798,SILVER,10000,0.1976,22,2025-01-20,,active,2024-02-26 18:14:20.253244
ACC_000222,CUST_000578,PLATINUM,25000,0.1629,4,2024-11-17,,active,2026-01-14 22:51:16.724255
ACC_000223,CUST_000733,PLATINUM,15000,0.2432,19,2024-06-02,,active,2024-12-23 13:16:41.472851
ACC_000224,CUST_000193,SILVER,25000,0.2124,20,2024-02-04,,active,2024-12-22 19:42:18.025525
ACC_000225,CUST_000970,GOLD,2500,0.2401,18,2024-07-15,,active,2024-09-26 09:51:03.246177
ACC_000226,CUST_000779,SILVER,5000,0.2389,4,2024-01-10,,active,2024-01-30 19:13:19.645647
ACC_000227,CUST_000231,PLATINUM,10000,0.2046,2,2024-05-29,,active,2026-02-22 11:23:25.545426
ACC_000228,CUST_000133,BUSINESS,2500,0.2248,28,2024-04-12,,active,2025-07-03 14:30:18.931983
ACC_000229,CUST_000895,GOLD,25000,0.1913,21,2024-06-21,,active,2025-12-19 05:27:07.865994
ACC_000230,CUST_000531,BUSINESS,500,0.2268,19,2024-03-07,,active,2024-09-07 20:31:37.354906
ACC_000231,CUST_000694,GOLD,5000,0.2059,6,2024-05-25,,active,2024-04-10 12:06:22.526064
ACC_000232,CUST_000188,GOLD,1000,0.1740,8,2024-04-27,,active,2024-07-04 03:28:54.151176
ACC_000233,CUST_000786,GOLD,500,0.2157,11,2025-02-05,,active,2024-05-25 22:19:08.844314
ACC_000234,CUST_000628,SILVER,5000,0.1812,20,2024-09-17,,active,2025-02-08 00:16:27.970933
ACC_000235,CUST_000400,GOLD,15000,0.1891,3,2024-05-20,,active,2024-07-04 03:43:01.036176
ACC_000236,CUST_000735,PLATINUM,500,0.1676,9,2024-01-16,,active,2024-08-16 12:28:46.666959
ACC_000237,CUST_000550,PLATINUM,500,0.2201,25,2024-05-21,,active,2025-11-24 23:57:47.704673
ACC_000238,CUST_000848,BUSINESS,15000,0.1844,7,2024-05-23,2025-01-18,active,2024-06-16 12:55:04.015468
ACC_000239,CUST_000984,PLATINUM,10000,0.1802,14,2024-05-20,,active,2024-06-24 03:12:41.856911
ACC_000240,CUST_000115,SILVER,2500,0.2399,18,2024-03-21,,active,2024-11-29 23:49:40.623698
ACC_000241,CUST_000032,PLATINUM,15000,0.1755,5,2024-08-10,,active,2024-12-16 02:57:06.560786
ACC_000242,CUST_000640,SILVER,15000,0.1941,11,2024-06-25,,active,2026-01-05 15:47:50.529258
ACC_000243,CUST_000076,BUSINESS,2500,0.2360,7,2024-09-19,,active,2024-05-08 06:34:25.447041
ACC_000244,CUST_000686,SILVER,10000,0.2118,25,2024-12-27,2024-09-20,active,2024-02-26 20:58:19.077629
ACC_000245,CUST_000441,GOLD,5000,0.1796,18,2024-01-11,,active,2025-05-06 16:04:05.011488
ACC_000246,CUST_000540,PLATINUM,2500,0.2468,21,2024-06-15,,active,2025-05-30 00:33:16.482453
