alert_id,transaction_id,account_id,alert_date,fraud_score,alert_type,confirmed_fraud,created_at
ALERT_0000016,TXN_00012183,ACC_000030,2025-10-09 11:11:32.802511,0.8329,amount,False,2025-10-09 11:11:32.802511
ALERT_0000017,TXN_00019106,ACC_000806,2025-12-21 18:40:32.826396,0.9200,device,False,2025-12-21 18:40:32.826396
ALERT_0000018,TXN_00021233,ACC_000886,2025-09-10 00:03:33.868028,0.9646,merchant,False,2025-09-10 00:03:33.868028
ALERT_0000019,TXN_00026112,ACC_000557,2024-03-09 03:45:59.335337,0.8462,merchant,False,2024-03-09 03:45:59.335337
ALERT_0000020,TXN_00013281,ACC_000038,2025-03-26 03:29:34.609115,0.8529,location,False,2025-03-26 03:29:34.609115
ALERT_0000021,TXN_00001918,ACC_000542,2025-06-20 15:04:32.498513,0.9393,velocity,False,2025-06-20 15:04:32.498513
ALERT_0000022,TXN_00008223,ACC_000202,2025-05-10 12:31:38.580557,0.7939,velocity,False,2025-05-10 12:31:38.580557
ALERT_0000023,TXN_00038292,ACC_001145,2025-01-05 04:43:58.756377,0.9364,location,True,2025-01-05 04:43:58.756377
ALERT_0000024,TXN_00033169,ACC_000530,2024-03-08 00:38:03.468240,0.9851,location,True,2024-03-08 00:38:03.468240
ALERT_0000025,TXN_00020919,ACC_000820,2024-09-27 15:35:52.414853,0.8554,merchant,False,2024-09-27 15:35:52.414853
ALERT_0000026,TXN_00049853,ACC_000058,2025-12-03 20:19:51.317318,0.9482,amount,False,2025-12-03 20:19:51.317318
ALERT_0000027,TXN_00038918,ACC_000972,2024-03-02 21:23:51.825534,0.9552,velocity,False,2024-03-02 21:23:51.825534
ALERT_0000028,TXN_00034046,ACC_001120,2024-06-14 16:03:33.965243,0.7301,amount,False,2024-06-14 16:03:33.965243
ALERT_0000029,TXN_00014675,ACC_001108,2024-10-25 09:14:56.967843,0.9588,merchant,False,2024-10-25 09:14:56.967843
ALERT_0000030,TXN_00035487,ACC_000366,2024-02-10 07:02:20.956893,0.9171,location,False,2024-02-10 07:02:20.956893
ALERT_0000031,TXN_00034239,ACC_000051,2025-10-10 15:27:08.576442,0.9381,location,False,2025-10-10 15:27:08.576442
ALERT_0000032,TXN_00041849,ACC_000725,2025-04-27 16:52:02.291945,0.7275,device,False,2025-04-27 16:52:02.291945
ALERT_0000033,TXN_00045780,ACC_000976,2025-05-27 13:24:12.126489,0.7302,velocity,False,2025-05-27 13:24:12.126489
ALERT_0000034,TXN_00013263,ACC_000374,2024-01-08 04:42:22.437685,0.7344,device,False,2024-01-08 04:42:22.437685
ALERT_0000035,TXN_00032953,ACC_000754,2025-06-20 15:25:51.062046,0.9981,velocity,False,2025-06-20 15:25:51.062046
ALERT_0000036,TXN_00001132,ACC_000741,2026-01-31 07:23:46.573680,0.7219,device,False,2026-01-31 07:23:46.573680
ALERT_0000037,TXN_00037958,ACC_000410,2025-09-20 02:08:29.188577,0.7286,merchant,False,2025-09-20 02:08:29.188577
ALERT_0000038,TXN_00011543,ACC_000882,2025-02-25 00:21:15.187867,0.7337,merchant,False,2025-02-25 00:21:15.187867
ALERT_0000039,TXN_00010464,ACC_000324,2025-07-20 17:58:45.089532,0.8560,location,False,2025-07-20 17:58:45.089532
ALERT_0000040,TXN_00013574,ACC_000549,2024-09-18 01:47:46.584273,0.9316,location,False,2024-09-18 01:47:46.584273
ALERT_0000041,TXN_00023505,ACC_000888,2025-12-11 14:40:59.179096,0.8330,amount,False,2025-12-11 14:40:59.179096
ALERT_0000042,TXN_00017754,ACC_000077,2026-02-10 13:39:53.703977,0.9013,device,False,2026-02-10 13:39:53.703977
ALERT_0000043,TXN_00019391,ACC_000674,2025-06-09 12:50:15.386145,0.7429,location,False,2025-06-09 12:50:15.386145
ALERT_0000044,TXN_00004253,ACC_000814,2024-06-23 23:54:32.130996,0.9573,device,False,2024-06-23 23:54:32.130996
ALERT_0000045,TXN_00000392,ACC_000699,2025-12-10 02:13:02.204856,0.7055,velocity,False,2025-12-10 02:13:02.204856
ALERT_0000046,TXN_00011051,ACC_000679,2024-12-17 20:48:02.407511,0.8924,merchant,False,2024-12-17 20:48:02.407511
ALERT_0000047,TXN_00044589,ACC_000263,2024-03-26 10:41:12.533670,0.8726,velocity,False,2024-03-26 10:41:12.533670
ALERT_0000048,TXN_00046261,ACC_000009,2024-01-22 12:00:23.084731,0.8882,velocity,False,2024-01-22 12:00:23.084731
ALERT_0000049,TXN_00049969,ACC_000365,2025-03-22 07:40:40.402877,0.9464,merchant,False,2025-03-22 07:40:40.402877
ALERT_0000050,TXN_00007696,ACC_000871,2025-07-31 15:47:26.250157,0.9863,merchant,False,2025-07-31 15:47:26.250157
ALERT_0000051,TXN_00038036,ACC_000416,2026-02-02 18:52:24.910179,0.9642,merchant,False,2026-02-02 18:52:24.910179
ALERT_0000052,TXN_00030181,ACC_000261,2025-07-30 06:20:25.590595,0.9904,velocity,False,2025-07-30 06:20:25.590595
ALERT_0000053,TXN_00013844,ACC_000861,2025-05-30 20:17:01.332929,0.7150,velocity,False,2025-05-30 20:17:01.332929
ALERT_0000054,TXN_00025032,ACC_000613,2024-02-08 22:02:36.969429,0.9384,location,False,2024-02-08 22:02:36.969429
ALERT_0000055,TXN_00017844,ACC_000707,2024-06-06 13:34:16.312587,0.8158,device,False,2024-06-06 13:34:16.312587
ALERT_0000056,TXN_00021389,ACC_001119,2025-11-13 20:56:35.416654,0.7976,velocity,False,2025-11-13 20:56:35.416654
ALERT_0000057,TXN_00019064,ACC_000931,2024-05-12 14:07:23.502394,0.9596,amount,False,2024-05-12 14:07:23.502394
ALERT_0000058,TXN_00049944,ACC_000335,2024-11-18 06:46:02.912499,0.8766,merchant,True,2024-11-18 06:46:02.912499
ALERT_0000059,TXN_00022961,ACC_000680,2025-09-27 08:23:53.612651,0.8075,velocity,False,2025-09-27 08:23:53.612651
ALERT_0000060,TXN_00012778,ACC_000567,2025-11-21 21:43:15.514676,0.8807,location,False,2025-11-21 21:43:15.514676
ALERT_0000061,TXN_00016006,ACC_000480,2025-11-02 05:31:00.809768,0.7911,location,False,2025-11-02 05:31:00.809768
ALERT_0000062,TXN_00005018,ACC_000939,2024-07-26 12:28:02.350138,0.7826,location,False,2024-07-26 12:28:02.350138
ALERT_0000063,TXN_00003847,ACC_000172,2024-02-23 00:46:23.720989,0.8257,device,False,2024-02-23 00:46:23.720989
ALERT_0000064,TXN_00033974,ACC_000678,2024-12-28 21:28:02.245977,0.7769,amount,False,2024-12-28 21:28:02.245977
ALERT_0000065,TXN_00018392,ACC_000402,2025-01-31 02:49:42.817328,0.9760,amount,False,2025-01-31 02:49:42.817328
ALERT_0000066,TXN_00038753,ACC_000052,2025-03-01 04:16:51.515059,0.9043,amount,False,2025-03-01 04:16:51.515059
ALERT_0000067,TXN_00038299,ACC_000475,2024-11-10 07:00:50.302967,0.7186,amount,True,2024-11-10 07:00:50.302967
ALERT_0000068,TXN_00009068,ACC_000712,2025-05-29 22:26:22.247571,0.7042,device,False,2025-05-29 22:26:22.247571
ALERT_0000069,TXN_00044281,ACC_000632,2025-03-31 07:55:00.084224,0.7023,amount,False,2025-03-31 07:55:00.084224
ALERT_0000070,TXN_00019789,ACC_000184,2025-11-20 16:25:08.556229,0.7291,device,False,2025-11-20 16:25:08.556229
ALERT_0000071,TXN_00010993,ACC_000639,2024-11-29 18:39:57.326864,0.7195,velocity,False,2024-11-29 18:39:57.326864
ALERT_0000072,TXN_00016031,ACC_000342,2024-07-25 13:03:12.015231,0.7873,location,True,2024-07-25 13:03:12.015231
ALERT_0000073,TXN_00038488,ACC_001052,2024-12-15 10:12:49.696986,0.9677,merchant,False,2024-12-15 10:12:49.696986
ALERT_0000074,TXN_00003922,ACC_001018,2024-11-19 08:02:42.154387,0.8669,location,False,2024-11-19 08:02:42.154387
ALERT_0000075,TXN_00029038,ACC_001164,2026-02-20 01:31:54.412305,0.7434,amount,False,2026-02-20 01:31:54.412305
ALERT_0000076,TXN_00014631,ACC_000642,2024-06-13 23:39:36.600629,0.7417,device,False,2024-06-13 23:39:36.600629
ALERT_0000077,TXN_00020804,ACC_001067,2024-10-20 22:42:49.482337,0.9756,velocity,False,2024-10-20 22:42:49.482337
ALERT_0000078,TXN_00048327,ACC_001161,2025-07-02 04:42:20.360070,0.7804,amount,False,2025-07-02 04:42:20.360070
ALERT_0000079,TXN_00024620,ACC_000255,2025-01-05 11:01:07.294220,0.7453,velocity,False,2025-01-05 11:01:07.294220
ALERT_0000080,TXN_00025354,ACC_001022,2025-06-13 21:07:22.687353,0.8797,velocity,True,2025-06-13 21:07:22.687353
ALERT_0000081,TXN_00006840,ACC_001030,2024-10-08 21:46:42.920371,0.7343,device,False,2024-10-08 21:46:42.920371
ALERT_0000082,TXN_00025713,ACC_000299,2025-11-27 02:05:38.004815,0.7489,amount,False,2025-11-27 02:05:38.004815
ALERT_0000083,TXN_00024762,ACC_000132,2025-12-16 04:05:02.655156,0.8290,amount,False,2025-12-16 04:05:02.655156
ALERT_0000084,TXN_00043591,ACC_000819,2024-03-15 23:07:38.993896,0.9062,location,False,2024-03-15 23:07:38.993896
ALERT_0000085,TXN_00049716,ACC_000857,2024-02-05 17:43:00.873110,0.9996,device,False,2024-02-05 17:43:00.873110
ALERT_0000086,TXN_00047600,ACC_001022,2024-09-29 19:16:55.735853,0.9581,amount,False,2024-09-29 19:16:55.735853
ALERT_0000087,TXN_00030824,ACC_001059,2026-01-03 16:11:05.931981,0.8328,device,False,2026-01-03 16:11:05.931981
ALERT_0000088,TXN_00011253,ACC_000078,2025-07-28 06:08:20.590187,0.9359,merchant,True,2025-07-28 06:08:20.590187
ALERT_0000089,TXN_00038678,ACC_000643,2024-06-30 00:51:28.412502,0.7272,velocity,False,2024-06-30 00:51:28.412502
ALERT_0000090,TXN_00045940,ACC_001155,2025-07-20 01:18:42.104750,0.7084,amount,True,2025-07-20 01:18:42.104750
ALERT_0000091,TXN_00046811,ACC_000097,2025-12-27 01:56:15.604057,0.9868,amount,False,2025-12-27 01:56:15.604057
ALERT_0000092,TXN_00023631,ACC_000374,2025-03-20 21:26:31.708580,0.9106,amount,False,2025-03-20 21:26:31.708580
ALERT_0000093,TXN_00018888,ACC_000218,2024-07-07 10:46:05.027318,0.8427,device,False,2024-07-07 10:46:05.027318
ALERT_0000094,TXN_00002413,ACC_000601,2024-10-02 15:37:55.350482,0.7050,device,False,2024-10-02 15:37:55.350482
ALERT_0000095,TXN_00005742,ACC_001187,2026-02-20 08:47:33.535960,0.9087,location,False,2026-02-20 08:47:33.535960
ALERT_0000096,TXN_00042166,ACC_000021,2026-02-27 18:42:44.809473,0.7250,amount,False,2026-02-27 18:42:44.809473
ALERT_0000097,TXN_00041546,ACC_000973,2025-06-08 09:28:58.359113,0.8157,device,False,2025-06-08 09:28:58.359113
ALERT_0000098,TXN_00046129,ACC_000808,2025-06-03 02:09:18.504125,0.9072,device,False,2025-06-03 02:09:18.504125
ALERT_0000099,TXN_00040178,ACC_000426,2025-07-03 19:02:18.736183,0.9530,location,False,2025-07-03 19:02:18.736183
