payment_id,account_id,payment_date,amount,payment_type,autopay_flag,created_at
PAY_0000041,ACC_000096,2025-09-03,1557.79,check,True,2025-09-03
PAY_0000042,ACC_001014,2025-08-29,483.81,online,False,2025-08-29
PAY_0000043,ACC_000280,2024-07-07,1273.22,wire,False,2024-07-07
PAY_0000044,ACC_000626,2024-04-17,1798.75,online,True,2024-04-17
PAY_0000045,ACC_000434,2024-12-16,1392.57,ach,True,2024-12-16
PAY_0000046,ACC_000194,2024-09-12,843.92,wire,False,2024-09-12
PAY_0000047,ACC_000815,2024-07-22,125.81,online,False,2024-07-22
PAY_0000048,ACC_001136,2025-02-09,1924.77,wire,False,2025-02-09
PAY_0000049,ACC_000919,2025-07-25,1915.96,online,False,2025-07-25
PAY_0000050,ACC_000691,2025-04-22,1261.49,ach,False,2025-04-22
PAY_0000051,ACC_000754,2024-02-07,497.52,check,False,2024-02-07
PAY_0000052,ACC_000634,2025-02-18,1146.91,ach,False,2025-02-18
PAY_0000053,ACC_000637,2024-08-27,1359.84,online,False,2024-08-27
PAY_0000054,ACC_000367,2025-06-15,1130.34,ach,False,2025-06-15
PAY_0000055,ACC_001084,2026-01-24,1453.71,wire,True,2026-01-24
PAY_0000056,ACC_000108,2025-06-07,880.46,online,False,2025-06-07
PAY_0000057,ACC_000839,2024-01-16,704.77,check,True,2024-01-16
PAY_0000058,ACC_000150,2024-11-03,1123.06,online,True,2024-11-03
PAY_0000059,ACC_000474,2025-08-19,1909.07,check,False,2025-08-19
PAY_0000060,ACC_000246,2025-07-29,1355.77,check,False,2025-07-29
PAY_0000061,ACC_000655,2024-01-29,402.04,check,False,2024-01-29
PAY_0000062,ACC_000772,2024-03-30,1116.29,online,True,2024-03-30
PAY_0000063,ACC_000760,2024-05-24,1319.84,ach,True,2024-05-24
PAY_0000064,ACC_000330,2025-05-19,1889.15,online,True,2025-05-19
PAY_0000065,ACC_000272,2024-02-12,1656.78,check,True,2024-02-12
PAY_0000066,ACC_000692,2024-08-08,863.83,online,False,2024-08-08
PAY_0000067,ACC_001104,2025-05-24,969.51,check,False,2025-05-24
PAY_0000068,ACC_001176,2025-03-14,1742.97,check,False,2025-03-14
PAY_0000069,ACC_000967,2024-06-29,126.38,wire,False,2024-06-29
PAY_0000070,ACC_000368,2024-05-15,1848.14,online,False,2024-05-15
PAY_0000071,ACC_001160,2024-02-26,812.68,online,False,2024-02-26
PAY_0000072,ACC_000920,2025-02-25,1223.84,check,False,2025-02-25
PAY_0000073,ACC_000537,2025-09-08,1403.87,ach,False,2025-09-08
PAY_0000074,ACC_000893,2024-03-29,1012.48,online,True,2024-03-29
PAY_0000075,ACC_000545,2026-02-15,204.61,online,False,2026-02-15
PAY_0000076,ACC_000105,2024-03-21,1232.91,check,True,2024-03-21
PAY_0000077,ACC_001145,2024-06-25,1990.69,ach,False,2024-06-25
PAY_0000078,ACC_001161,2024-11-10,641.55,check,False,2024-11-10
PAY_0000079,ACC_000161,2024-07-03,1961.81,check,False,2024-07-03
PAY_0000080,ACC_000971,2025-09-09,1433.18,check,False,2025-09-09
PAY_0000081,ACC_000433,2025-12-03,197.81,ach,False,2025-12-03
PAY_0000082,ACC_000560,2024-03-19,1078.11,check,False,2024-03-19
PAY_0000083,ACC_000452,2025-04-16,143.02,ach,False,2025-04-16
PAY_0000084,ACC_000271,2024-05-08,1307.66,check,False,2024-05-08
PAY_0000085,ACC_001121,2026-02-14,1312.18,check,False,2026-02-14
PAY_0000086,ACC_000684,2024-02-21,1856.47,check,True,2024-02-21
PAY_0000087,ACC_000443,2026-01-30,1276.89,check,True,2026-01-30
PAY_0000088,ACC_000288,2025-08-05,686.04,online,False,2025-08-05
PAY_0000089,ACC_000332,2024-02-13,214.37,online,True,2024-02-13
PAY_0000090,ACC_000755,2024-01-25,460.16,ach,True,2024-01-25
PAY_0000091,ACC_000309,2025-12-30,1680.02,ach,False,2025-12-30
PAY_0000092,ACC_001110,2025-06-18,1015.83,wire,False,2025-06-18
PAY_0000093,ACC_000318,2025-10-12,157.31,wire,False,2025-10-12
PAY_0000094,ACC_000036,2025-10-19,174.55,check,False,2025-10-19
PAY_0000095,ACC_000650,2025-08-15,338.86,check,True,2025-08-15
PAY_0000096,ACC_001046,2025-10-06,315.28,online,True,2025-10-06
PAY_0000097,ACC_000228,2024-03-29,283.62,ach,False,2024-03-29
PAY_0000098,ACC_000588,2025-08-05,788.34,ach,False,2025-08-05
PAY_0000099,ACC_000909,2024-03-19,1272.51,check,True,2024-03-19
PAY_0000100,ACC_000336,2024-03-02,1194.05,check,False,2024-03-02
PAY_0000101,ACC_000879,2024-12-04,1692.29,check,False,2024-12-04
PAY_0000102,ACC_000376,2025-11-21,1535.82,online,True,2025-11-21
PAY_0000103,ACC_000093,2025-01-27,828.19,check,False,2025-01-27
PAY_0000104,ACC_000329,2024-06-05,234.22,online,False,2024-06-05
PAY_0000105,ACC_000001,2024-03-27,1164.88,online,False,2024-03-27
PAY_0000106,ACC_001170,2025-08-31,892.36,check,False,2025-08-31
PAY_0000107,ACC_000676,2025-11-03,1721.47,ach,False,2025-11-03
PAY_0000108,ACC_000794,2024-06-26,359.99,online,False,2024-06-26
PAY_0000109,ACC_000445,2025-05-14,545.07,check,True,2025-05-14
PAY_0000110,ACC_001019,2025-11-29,1393.40,check,True,2025-11-29
PAY_0000111,ACC_000616,2025-10-03,622.93,ach,False,2025-10-03
PAY_0000112,ACC_000056,2025-01-10,1759.51,wire,False,2025-01-10
PAY_0000113,ACC_001104,2025-02-28,1140.19,ach,False,2025-02-28
PAY_0000114,ACC_000078,2024-05-23,1705.38,online,True,2024-05-23
PAY_0000115,ACC_000924,2025-11-26,1198.72,wire,True,2025-11-26
PAY_0000116,ACC_000317,2024-08-15,171.09,ach,True,2024-08-15
PAY_0000117,ACC_000752,2024-07-29,519.34,wire,True,2024-07-29
PAY_0000118,ACC_000187,2025-09-08,1777.82,wire,False,2025-09-08
PAY_0000119,ACC_000315,2025-01-15,1879.58,wire,True,2025-01-15
PAY_0000120,ACC_000800,2025-12-02,306.77,wire,True,2025-12-02
PAY_0000121,ACC_000278,2024-05-20,347.49,wire,False,2024-05-20
PAY_0000122,ACC_000039,2024-03-10,1455.72,online,False,2024-03-10
PAY_0000123,ACC_000208,2024-10-03,1283.50,wire,False,2024-10-03
PAY_0000124,ACC_001022,2026-02-24,629.35,wire,False,2026-02-24
PAY_0000125,ACC_000724,2024-06-16,612.88,wire,False,2024-06-16
PAY_0000126,ACC_001194,2025-02-05,1827.23,online,True,2025-02-05
PAY_0000127,ACC_000761,2025-11-25,579.04,online,True,2025-11-25
PAY_0000128,ACC_000472,2025-03-03,470.99,online,False,2025-03-03
PAY_0000129,ACC_000353,2024-10-20,1817.07,check,False,2024-10-20
PAY_0000130,ACC_001052,2024-12-24,1941.54,ach,False,2024-12-24
PAY_0000131,ACC_000845,2024-02-12,1325.45,wire,False,2024-02-12
PAY_0000132,ACC_000260,2024-05-07,371.45,online,False,2024-05-07
PAY_0000133,ACC_000730,2025-05-24,1866.22,online,True,2025-05-24
PAY_0000134,ACC_001019,2024-10-17,1743.62,wire,False,2024-10-17
PAY_0000135,ACC_000679,2025-03-27,1037.22,ach,True,2025-03-27
PAY_0000136,ACC_000202,2026-01-21,1141.26,wire,False,2026-01-21
PAY_0000137,ACC_000276,2024-06-18,252.16,online,True,2024-06-18
PAY_0000138,ACC_001050,2025-06-13,1683.70,check,False,2025-06-13
PAY_0000139,ACC_000897,2024-01-29,149.05,online,False,2024-01-29
PAY_0000140,ACC_000357,2024-05-07,176.42,online,False,2024-05-07
PAY_0000141,ACC_000877,2025-09-10,1302.02,online,False,2025-09-10
PAY_0000142,ACC_000657,2025-01-25,1336.05,wire,False,2025-01-25
PAY_0000143,ACC_001116,2025-01-25,1973.25,check,False,2025-01-25
PAY_0000144,ACC_000608,2025-05-02,547.02,ach,False,2025-05-02
PAY_0000145,ACC_000567,2024-05-12,743.99,ach,False,2024-05-12
PAY_0000146,ACC_000700,2024-04-02,106.01,online,True,2024-04-02
PAY_0000147,ACC_001014,2024-08-30,795.88,wire,False,2024-08-30
PAY_0000148,ACC_001080,2025-05-22,1957.31,online,True,2025-05-22
PAY_0000149,ACC_000574,2024-08-31,681.15,check,True,2024-08-31
PAY_0000150,ACC_000781,2024-12-07,1520.00,online,False,2024-12-07
PAY_0000151,ACC_001029,2025-05-27,1102.88,online,False,2025-05-27
PAY_0000152,ACC_000896,2024-06-13,76.58,check,True,2024-06-13
PAY_0000153,ACC_001066,2024-09-06,1542.90,ach,False,2024-09-06
PAY_0000154,ACC_000486,2025-10-17,162.66,check,False,2025-10-17
PAY_0000155,ACC_001182,2024-05-27,332.33,wire,False,2024-05-27
PAY_0000156,ACC_000975,2024-10-22,1426.66,ach,False,2024-10-22
PAY_0000157,ACC_000875,2025-06-17,1945.87,ach,False,2025-06-17
PAY_0000158,ACC_001091,2024-11-05,1841.17,ach,True,2024-11-05
PAY_0000159,ACC_001103,2024-04-02,1152.95,ach,True,2024-04-02
PAY_0000160,ACC_000112,2025-03-15,1268.72,wire,True,2025-03-15
PAY_0000161,ACC_000332,2026-01-09,1563.89,check,False,2026-01-09
PAY_0000162,ACC_000459,2026-02-07,300.70,online,False,2026-02-07
PAY_0000163,ACC_000900,2024-01-07,1035.11,check,False,2024-01-07
PAY_0000164,ACC_000672,2025-01-07,680.94,online,True,2025-01-07
PAY_0000165,ACC_001090,2025-12-17,171.55,online,True,2025-12-17
PAY_0000166,ACC_000544,2025-06-06,1819.93,online,False,2025-06-06
PAY_0000167,ACC_000200,2024-01-30,1651.50,online,False,2024-01-30
PAY_0000168,ACC_000113,2025-08-25,702.19,check,True,2025-08-25
PAY_0000169,ACC_000125,2024-09-09,230.59,online,False,2024-09-09
PAY_0000170,ACC_000031,2025-12-22,758.57,ach,False,2025-12-22
PAY_0000171,ACC_000647,2024-11-23,1783.58,online,False,2024-11-23
PAY_0000172,ACC_000762,2026-01-24,282.98,ach,False,2026-01-24
PAY_0000173,ACC_001089,2025-08-12,711.49,wire,False,2025-08-12
PAY_0000174,ACC_000413,2024-04-13,192.75,wire,False,2024-04-13
PAY_0000175,ACC_001037,2024-11-03,128.26,online,False,2024-11-03
PAY_0000176,ACC_001005,2025-11-08,156.45,ach,False,2025-11-08
PAY_0000177,ACC_001077,2025-12-29,1875.92,check,True,2025-12-29
PAY_0000178,ACC_000168,2025-03-29,1509.71,ach,False,2025-03-29
PAY_0000179,ACC_000970,2026-01-29,1137.19,check,True,2026-01-29
PAY_0000180,ACC_000993,2025-05-08,385.58,ach,True,2025-05-08
PAY_0000181,ACC_000251,2025-12-18,935.70,online,False,2025-12-18
PAY_0000182,ACC_000900,2024-08-12,1541.78,ach,False,2024-08-12
PAY_0000183,ACC_001173,2024-02-06,105.66,wire,False,2024-02-06
PAY_0000184,ACC_001109,2024-03-02,281.17,check,False,2024-03-02
PAY_0000185,ACC_000809,2024-10-28,1318.46,online,False,2024-10-28
PAY_0000186,ACC_000471,2025-06-08,884.07,online,True,2025-06-08
PAY_0000187,ACC_000576,2024-07-07,977.90,ach,False,2024-07-07
PAY_0000188,ACC_000990,2025-12-12,1184.26,check,False,2025-12-12
PAY_0000189,ACC_000595,2024-01-08,51.45,online,True,2024-01-08
PAY_0000190,ACC_000329,2026-02-08,1259.45,online,False,2026-02-08
PAY_0000191,ACC_000207,2025-08-01,1810.18,wire,False,2025-08-01
PAY_0000192,ACC_000189,2025-04-06,191.49,check,False,2025-04-06
PAY_0000193,ACC_001005,2025-04-24,581.65,ach,False,2025-04-24
PAY_0000194,ACC_000814,2026-01-17,680.16,wire,False,2026-01-17
PAY_0000195,ACC_000432,2024-07-25,1541.49,ach,False,2024-07-25
PAY_0000196,ACC_000277,2024-11-11,1147.86,ach,False,2024-11-11
PAY_0000197,ACC_000896,2026-01-01,1938.99,ach,False,2026-01-01
PAY_0000198,ACC_000406,2024-05-14,1275.71,wire,False,2024-05-14
PAY_0000199,ACC_000469,2024-09-14,279.91,wire,True,2024-09-14
PAY_0000200,ACC_000741,2025-06-05,1664.71,wire,False,2025-06-05
PAY_0000201,ACC_000702,2025-12-01,1283.40,online,True,2025-12-01
PAY_0000202,ACC_000926,2024-09-12,729.19,online,False,2024-09-12
PAY_0000203,ACC_000884,2024-03-24,615.55,ach,True,2024-03-24
PAY_0000204,ACC_000701,2025-09-17,854.65,check,False,2025-09-17
PAY_0000205,ACC_001059,2024-07-02,1042.73,online,False,2024-07-02
PAY_0000206,ACC_001164,2025-03-15,103.66,check,True,2025-03-15
PAY_0000207,ACC_000210,2025-02-09,1677.99,check,False,2025-02-09
PAY_0000208,ACC_000930,2026-01-15,640.74,online,False,2026-01-15
PAY_0000209,ACC_000910,2025-09-02,1134.08,ach,False,2025-09-02
PAY_0000210,ACC_000176,2024-01-01,1921.90,check,False,2024-01-01
PAY_0000211,ACC_000535,2024-03-03,1553.44,wire,True,2024-03-03
PAY_0000212,ACC_000965,2024-08-31,769.82,check,False,2024-08-31
PAY_0000213,ACC_000829,2025-01-04,1657.20,check,False,2025-01-04
PAY_0000214,ACC_000471,2026-02-13,1772.04,online,True,2026-02-13
PAY_0000215,ACC_000665,2024-01-04,743.59,online,False,2024-01-04
PAY_0000216,ACC_000637,2025-08-30,60.87,online,True,2025-08-30
PAY_0000217,ACC_001188,2025-11-15,707.93,wire,False,2025-11-15
PAY_0000218,ACC_000712,2024-02-09,132.69,online,False,2024-02-09
PAY_0000219,ACC_000513,2025-01-20,1682.60,check,False,2025-01-20
PAY_0000220,ACC_000098,2026-01-03,1831.22,online,False,2026-01-03
PAY_0000221,ACC_000356,2025-09-07,1058.54,online,False,2025-09-07
PAY_0000222,ACC_001087,2024-03-20,1319.13,wire,False,2024-03-20
PAY_0000223,ACC_000610,2025-09-17,1942.29,check,True,2025-09-17
PAY_0000224,ACC_000684,2024-09-27,171.31,online,True,2024-09-27
PAY_0000225,ACC_000372,2024-08-09,610.57,ach,True,2024-08-09
PAY_0000226,ACC_000778,2024-04-22,1272.59,wire,False,2024-04-22
PAY_0000227,ACC_001027,2025-01-11,912.82,ach,False,2025-01-11
PAY_0000228,ACC_000815,2024-10-23,209.86,check,True,2024-10-23
PAY_0000229,ACC_000590,2024-11-29,191.41,check,True,2024-11-29
PAY_0000230,ACC_000075,2024-04-27,1723.37,wire,False,2024-04-27
PAY_0000231,ACC_000146,2026-01-20,566.46,check,False,2026-01-20
PAY_0000232,ACC_000820,2025-02-02,1628.81,wire,False,2025-02-02
PAY_0000233,ACC_001041,2025-01-26,683.94,ach,False,2025-01-26
PAY_0000234,ACC_000217,2024-05-11,1061.03,online,False,2024-05-11
PAY_0000235,ACC_000084,2024-06-07,806.81,online,True,2024-06-07
PAY_0000236,ACC_000076,2025-05-09,1473.67,wire,False,2025-05-09
PAY_0000237,ACC_000303,2025-11-27,153.74,online,False,2025-11-27
PAY_0000238,ACC_000730,2024-06-25,460.11,online,False,2024-06-25
PAY_0000239,ACC_001002,2024-04-28,218.28,check,False,2024-04-28
PAY_0000240,ACC_000562,2024-03-21,651.73,online,False,2024-03-21
PAY_0000241,ACC_000605,2025-11-08,1356.95,check,False,2025-11-08
PAY_0000242,ACC_000477,2025-04-27,1111.74,online,False,2025-04-27
PAY_0000243,ACC_000885,2025-02-26,322.04,wire,True,2025-02-26
PAY_0000244,ACC_000857,2025-09-02,419.13,online,True,2025-09-02
PAY_0000245,ACC_001122,2024-10-23,1849.03,check,False,2024-10-23
PAY_0000246,ACC_001042,2025-02-03,1234.95,wire,False,2025-02-03
PAY_0000247,ACC_000995,2025-08-01,915.94,check,True,2025-08-01
PAY_0000248,ACC_000226,2024-03-06,784.36,ach,False,2024-03-06
PAY_0000249,ACC_000910,2025-05-31,130.12,check,False,2025-05-31
PAY_0000250,ACC_001079,2024-05-16,1278.20,wire,False,2024-05-16
PAY_0000251,ACC_000929,2024-04-05,1202.37,wire,False,2024-04-05
PAY_0000252,ACC_000226,2024-10-05,632.34,ach,True,2024-10-05
PAY_0000253,ACC_000908,2024-03-04,1073.89,ach,False,2024-03-04
PAY_0000254,ACC_000486,2024-12-01,1623.27,online,True,2024-12-01
PAY_0000255,ACC_000160,2026-02-18,1386.17,wire,False,2026-02-18
PAY_0000256,ACC_000586,2025-11-17,383.93,check,True,2025-11-17
PAY_0000257,ACC_001018,2026-02-21,63.51,wire,True,2026-02-21
PAY_0000258,ACC_000459,2024-01-18,913.94,wire,False,2024-01-18
PAY_0000259,ACC_000232,2025-09-11,1683.94,check,True,2025-09-11
PAY_0000260,ACC_000717,2024-01-16,1941.94,check,True,2024-01-16
PAY_0000261,ACC_000387,2024-12-29,1570.93,check,False,2024-12-29
PAY_0000262,ACC_001136,2024-05-19,547.92,online,True,2024-05-19
PAY_0000263,ACC_000511,2024-11-14,1333.31,online,False,2024-11-14
PAY_0000264,ACC_000314,2024-08-12,1659.60,check,False,2024-08-12
PAY_0000265,ACC_000750,2024-08-10,1563.46,online,False,2024-08-10
PAY_0000266,ACC_000600,2025-03-30,842.46,ach,False,2025-03-30
PAY_0000267,ACC_000272,2025-04-10,896.94,check,False,2025-04-10
PAY_0000268,ACC_000033,2024-11-06,1379.48,ach,False,2024-11-06
PAY_0000269,ACC_001123,2026-02-17,220.58,online,False,2026-02-17
PAY_0000270,ACC_000221,2024-09-07,1957.64,check,True,2024-09-07
PAY_0000271,ACC_000937,2025-10-17,1528.52,online,False,2025-10-17
PAY_0000272,ACC_000292,2024-10-17,187.33,wire,False,2024-10-17
PAY_0000273,ACC_000103,2024-04-28,112.63,ach,False,2024-04-28
PAY_0000274,ACC_000930,2025-08-21,477.97,ach,False,2025-08-21
PAY_0000275,ACC_000835,2024-02-10,545.37,wire,False,2024-02-10
PAY_0000276,ACC_000211,2025-06-07,805.93,ach,False,2025-06-07
PAY_0000277,ACC_001163,2024-07-11,1012.19,check,False,2024-07-11
PAY_0000278,ACC_000699,2025-06-22,1729.94,wire,False,2025-06-22
PAY_0000279,ACC_000425,2025-05-01,73.05,online,False,2025-05-01
PAY_0000280,ACC_001180,2024-09-25,1387.01,ach,False,2024-09-25
PAY_0000281,ACC_000374,2024-05-28,1975.46,wire,False,2024-05-28
PAY_0000282,ACC_000770,2025-06-22,634.12,online,False,2025-06-22
PAY_0000283,ACC_000549,2025-09-03,690.80,online,False,2025-09-03
PAY_0000284,ACC_000839,2024-09-12,1448.43,check,False,2024-09-12
PAY_0000285,ACC_000163,2024-03-11,1446.73,check,True,2024-03-11
PAY_0000286,ACC_000482,2024-06-18,860.23,online,True,2024-06-18
PAY_0000287,ACC_000483,2025-12-17,124.25,check,False,2025-12-17
PAY_0000288,ACC_000454,2024-09-13,642.27,ach,False,2024-09-13
PAY_0000289,ACC_000600,2024-01-02,882.44,wire,False,2024-01-02
PAY_0000290,ACC_000217,2024-07-21,1349.28,wire,False,2024-07-21
PAY_0000291,ACC_000492,2025-10-10,969.27,online,True,2025-10-10
PAY_0000292,ACC_000378,2024-06-09,1397.76,wire,False,2024-06-09
PAY_0000293,ACC_000102,2024-03-06,506.66,ach,False,2024-03-06
PAY_0000294,ACC_000399,2025-05-05,186.72,online,False,2025-05-05
PAY_0000295,ACC_000192,2025-01-19,711.85,online,False,2025-01-19
PAY_0000296,ACC_000374,2025-02-20,1401.53,wire,False,2025-02-20
PAY_0000297,ACC_000356,2025-01-16,1820.70,online,True,2025-01-16
PAY_0000298,ACC_000610,2025-12-07,1597.78,ach,True,2025-12-07
PAY_0000299,ACC_001108,2024-08-15,1995.63,ach,False,2024-08-15
PAY_0000300,ACC_000353,2024-03-07,53.99,check,True,2024-03-07
PAY_0000301,ACC_000597,2024-01-18,1964.99,online,False,2024-01-18
PAY_0000302,ACC_000103,2025-01-04,1063.88,online,True,2025-01-04
PAY_0000303,ACC_000771,2025-06-19,1652.40,wire,False,2025-06-19
PAY_0000304,ACC_000945,2024-10-21,573.85,wire,False,2024-10-21
PAY_0000305,ACC_000661,2025-07-06,1191.26,check,False,2025-07-06
PAY_0000306,ACC_000821,2024-07-04,58.13,online,True,2024-07-04
PAY_0000307,ACC_001018,2025-07-18,682.35,check,False,2025-07-18
PAY_0000308,ACC_000872,2025-10-15,755.96,online,False,2025-10-15
PAY_0000309,ACC_000494,2024-01-24,249.30,online,False,2024-01-24
PAY_0000310,ACC_000986,2024-11-16,1665.01,check,True,2024-11-16
PAY_0000311,ACC_000088,2024-04-12,205.03,check,False,2024-04-12
PAY_0000312,ACC_000598,2025-04-10,793.00,check,False,2025-04-10
PAY_0000313,ACC_000283,2024-04-13,1371.46,online,False,2024-04-13
PAY_0000314,ACC_000992,2025-04-11,490.15,check,True,2025-04-11
PAY_0000315,ACC_000773,2024-03-23,105.60,wire,False,2024-03-23
PAY_0000316,ACC_000798,2024-06-30,1898.46,ach,False,2024-06-30
PAY_0000317,ACC_000102,2025-09-29,563.50,wire,False,2025-09-29
PAY_0000318,ACC_000210,2025-11-08,142.22,ach,False,2025-11-08
PAY_0000319,ACC_000259,2025-11-06,1469.80,ach,False,2025-11-06
PAY_0000320,ACC_001047,2025-09-25,1386.66,check,True,2025-09-25
PAY_0000321,ACC_001005,2025-06-21,1185.01,online,False,2025-06-21
PAY_0000322,ACC_001030,2024-01-15,1327.75,online,False,2024-01-15
PAY_0000323,ACC_000986,2025-09-06,697.23,wire,False,2025-09-06
PAY_0000324,ACC_000228,2024-05-23,789.24,wire,False,2024-05-23
PAY_0000325,ACC_000703,2024-03-02,1506.35,ach,False,2024-03-02
PAY_0000326,ACC_000774,2024-01-12,447.54,online,False,2024-01-12
PAY_0000327,ACC_000852,2024-08-28,1834.95,online,True,2024-08-28
PAY_0000328,ACC_000431,2025-10-02,1061.24,ach,False,2025-10-02
PAY_0000329,ACC_000975,2025-05-01,704.83,check,False,2025-05-01
PAY_0000330,ACC_000400,2025-07-16,965.76,check,False,2025-07-16
PAY_0000331,ACC_000618,2024-09-21,203.38,online,True,2024-09-21
PAY_0000332,ACC_000087,2024-11-20,1654.30,check,False,2024-11-20
PAY_0000333,ACC_000569,2025-07-04,240.64,ach,False,2025-07-04
PAY_0000334,ACC_000525,2024-12-14,1804.01,ach,True,2024-12-14
PAY_0000335,ACC_000042,2025-10-24,1532.31,check,True,2025-10-24
PAY_0000336,ACC_001142,2026-01-09,1326.60,check,True,2026-01-09
PAY_0000337,ACC_000050,2025-05-01,938.20,wire,False,2025-05-01
PAY_0000338,ACC_000621,2025-05-31,53.34,wire,True,2025-05-31
PAY_0000339,ACC_000767,2024-09-16,1050.91,ach,False,2024-09-16
PAY_0000340,ACC_000884,2025-01-27,1043.15,wire,True,2025-01-27
PAY_0000341,ACC_001188,2025-05-26,482.07,wire,False,2025-05-26
PAY_0000342,ACC_000880,2025-05-11,1772.03,check,False,2025-05-11
PAY_0000343,ACC_000905,2025-05-07,1880.04,ach,False,2025-05-07
PAY_0000344,ACC_000086,2024-12-30,1282.84,online,False,2024-12-30
PAY_0000345,ACC_000456,2024-03-27,1404.84,check,False,2024-03-27
PAY_0000346,ACC_000712,2024-06-17,1077.08,online,False,2024-06-17
PAY_0000347,ACC_000670,2024-01-22,788.37,ach,False,2024-01-22
PAY_0000348,ACC_001146,2025-04-23,1604.21,check,False,2025-04-23
PAY_0000349,ACC_000541,2025-05-21,1626.39,ach,False,2025-05-21
PAY_0000350,ACC_001197,2026-01-05,1425.15,ach,False,2026-01-05
PAY_0000351,ACC_000268,2025-12-11,598.77,wire,False,2025-12-11
PAY_0000352,ACC_000195,2024-09-29,1390.75,wire,False,2024-09-29
PAY_0000353,ACC_000271,2024-07-11,822.86,check,False,2024-07-11
PAY_0000354,ACC_000569,2025-07-09,1691.57,wire,False,2025-07-09
PAY_0000355,ACC_000749,2025-11-25,467.10,wire,False,2025-11-25
PAY_0000356,ACC_001044,2025-12-12,417.83,ach,True,2025-12-12
PAY_0000357,ACC_000189,2024-04-26,1571.33,online,False,2024-04-26
PAY_0000358,ACC_000487,2025-08-01,1482.17,online,False,2025-08-01
PAY_0000359,ACC_000414,2025-11-10,394.10,check,False,2025-11-10
PAY_0000360,ACC_000945,2025-05-14,1515.05,online,False,2025-05-14
PAY_0000361,ACC_000640,2025-06-16,1010.20,online,False,2025-06-16
PAY_0000362,ACC_000952,2024-10-12,82.03,ach,False,2024-10-12
PAY_0000363,ACC_000021,2024-12-01,292.36,ach,True,2024-12-01
PAY_0000364,ACC_000167,2024-11-23,1561.45,ach,False,2024-11-23
PAY_0000365,ACC_000835,2024-01-05,1875.15,online,False,2024-01-05
PAY_0000366,ACC_000335,2025-09-01,755.81,ach,False,2025-09-01
