payment_id,account_id,customer_id,country_code,legal_entity,payment_date,due_date,statement_month,minimum_due,total_due,payment_amount,payment_method,payment_channel,payment_status,overdue_days,late_fee,reference_number,created_at
PAY_00000014,ACC_0000002,CUST_000002,SG,SG_BANK,2025-03-14 00:00:00,2025-03-21,2025-02,105.79,3526.23,3526.23,cheque,atm,paid_full,0,0.0,PREF000000000015,2025-03-14 00:00:00
PAY_00000015,ACC_0000002,CUST_000002,SG,SG_BANK,2025-04-15 00:00:00,2025-04-21,2025-03,129.68,4322.55,3069.11,bank_transfer,atm,paid_partial,0,0.0,PREF000000000016,2025-04-15 00:00:00
PAY_00000016,ACC_0000002,CUST_000002,SG,SG_BANK,2025-05-13 00:00:00,2025-05-21,2025-04,190.17,6339.06,6339.06,cheque,mobile_app,paid_full,0,0.0,PREF000000000017,2025-05-13 00:00:00
PAY_00000017,ACC_0000002,CUST_000002,SG,SG_BANK,2025-06-20 00:00:00,2025-06-21,2025-05,64.75,2158.41,64.75,bank_transfer,internet_banking,paid_minimum,0,0.0,PREF000000000018,2025-06-20 00:00:00
PAY_00000018,ACC_0000002,CUST_000002,SG,SG_BANK,2025-07-17 00:00:00,2025-07-21,2025-06,212.32,7077.49,7077.49,bank_transfer,branch,paid_full,0,0.0,PREF000000000019,2025-07-17 00:00:00
PAY_00000019,ACC_0000002,CUST_000002,SG,SG_BANK,2025-08-18 00:00:00,2025-08-21,2025-07,154.91,5163.77,5163.77,bank_transfer,atm,paid_full,0,0.0,PREF000000000020,2025-08-18 00:00:00
PAY_00000020,ACC_0000002,CUST_000002,SG,SG_BANK,2025-09-20 00:00:00,2025-09-21,2025-08,141.84,4727.9,4727.9,online_banking,internet_banking,paid_full,0,0.0,PREF000000000021,2025-09-20 00:00:00
PAY_00000021,ACC_0000002,CUST_000002,SG,SG_BANK,2025-10-16 00:00:00,2025-10-21,2025-09,254.79,8493.08,2962.83,bank_transfer,internet_banking,paid_partial,0,0.0,PREF000000000022,2025-10-16 00:00:00
PAY_00000022,ACC_0000002,CUST_000002,SG,SG_BANK,2025-11-18 00:00:00,2025-11-21,2025-10,345.19,11506.45,6604.94,cheque,internet_banking,paid_partial,0,0.0,PREF000000000023,2025-11-18 00:00:00
PAY_00000023,ACC_0000002,CUST_000002,SG,SG_BANK,2025-12-23 00:00:00,2025-12-21,2025-11,266.26,8875.46,266.26,cheque,atm,overdue,2,25.0,PREF000000000024,2025-12-23 00:00:00
PAY_00000024,ACC_0000002,CUST_000002,SG,SG_BANK,2025-12-28 00:00:00,2026-01-21,2025-12,467.59,15586.18,15586.18,bank_transfer,mobile_app,paid_full,0,0.0,PREF000000000025,2025-12-28 00:00:00
PAY_00000025,ACC_0000003,CUST_000003,SG,SG_BANK,2025-02-16 00:00:00,2025-02-21,2025-01,202.14,6738.07,5998.77,cheque,branch,paid_partial,0,0.0,PREF000000000026,2025-02-16 00:00:00
PAY_00000026,ACC_0000003,CUST_000003,SG,SG_BANK,2025-03-19 00:00:00,2025-03-21,2025-02,50.0,1524.28,50.0,bank_transfer,atm,paid_minimum,0,0.0,PREF000000000027,2025-03-19 00:00:00
PAY_00000027,ACC_0000003,CUST_000003,SG,SG_BANK,2025-04-19 00:00:00,2025-04-21,2025-03,67.12,2237.31,2237.31,online_banking,mobile_app,paid_full,0,0.0,PREF000000000028,2025-04-19 00:00:00
PAY_00000028,ACC_0000003,CUST_000003,SG,SG_BANK,2025-05-14 00:00:00,2025-05-21,2025-04,52.2,1740.14,1106.54,online_banking,internet_banking,paid_partial,0,0.0,PREF000000000029,2025-05-14 00:00:00
PAY_00000029,ACC_0000003,CUST_000003,SG,SG_BANK,2025-06-15 00:00:00,2025-06-21,2025-05,50.0,1057.87,739.76,giro,atm,paid_partial,0,0.0,PREF000000000030,2025-06-15 00:00:00
PAY_00000030,ACC_0000003,CUST_000003,SG,SG_BANK,2025-08-14 00:00:00,2025-07-21,2025-06,94.4,3146.51,94.4,giro,atm,overdue,24,25.0,PREF000000000031,2025-08-14 00:00:00
PAY_00000031,ACC_0000003,CUST_000003,SG,SG_BANK,2025-08-11 00:00:00,2025-08-21,2025-07,125.26,4175.19,4175.19,online_banking,branch,paid_full,0,0.0,PREF000000000032,2025-08-11 00:00:00
PAY_00000032,ACC_0000003,CUST_000003,SG,SG_BANK,2025-09-21 00:00:00,2025-09-21,2025-08,50.0,1493.89,794.65,cheque,mobile_app,paid_partial,0,0.0,PREF000000000033,2025-09-21 00:00:00
PAY_00000033,ACC_0000003,CUST_000003,SG,SG_BANK,2025-10-12 00:00:00,2025-10-21,2025-09,50.0,1380.84,1380.84,giro,mobile_app,paid_full,0,0.0,PREF000000000034,2025-10-12 00:00:00
PAY_00000034,ACC_0000003,CUST_000003,SG,SG_BANK,2025-11-16 00:00:00,2025-11-21,2025-10,50.0,267.83,196.96,giro,internet_banking,paid_partial,0,0.0,PREF000000000035,2025-11-16 00:00:00
PAY_00000035,ACC_0000003,CUST_000003,SG,SG_BANK,2025-12-21 00:00:00,2025-12-21,2025-11,50.0,80.1,50.0,giro,mobile_app,paid_minimum,0,0.0,PREF000000000036,2025-12-21 00:00:00
PAY_00000036,ACC_0000003,CUST_000003,SG,SG_BANK,2025-12-28 00:00:00,2026-01-21,2025-12,50.0,1210.8,1210.8,online_banking,atm,paid_full,0,0.0,PREF000000000037,2025-12-28 00:00:00
PAY_00000037,ACC_0000004,CUST_000003,SG,SG_BANK,2025-02-13 00:00:00,2025-02-21,2025-01,392.48,13082.73,13082.73,giro,branch,paid_full,0,0.0,PREF000000000038,2025-02-13 00:00:00
PAY_00000038,ACC_0000004,CUST_000003,SG,SG_BANK,2025-03-20 00:00:00,2025-03-21,2025-02,50.0,348.63,50.0,bank_transfer,branch,paid_minimum,0,0.0,PREF000000000039,2025-03-20 00:00:00
PAY_00000039,ACC_0000004,CUST_000003,SG,SG_BANK,2025-04-23 00:00:00,2025-04-21,2025-03,50.0,407.24,50.0,online_banking,branch,overdue,2,25.0,PREF000000000040,2025-04-23 00:00:00
PAY_00000040,ACC_0000004,CUST_000003,SG,SG_BANK,2025-05-24 00:00:00,2025-05-21,2025-04,61.91,2063.55,61.91,online_banking,branch,overdue,3,25.0,PREF000000000041,2025-05-24 00:00:00
PAY_00000041,ACC_0000004,CUST_000003,SG,SG_BANK,2025-07-23 00:00:00,2025-06-21,2025-05,77.73,2590.97,77.73,giro,internet_banking,overdue,32,25.0,PREF000000000042,2025-07-23 00:00:00
PAY_00000042,ACC_0000004,CUST_000003,SG,SG_BANK,2025-07-20 00:00:00,2025-07-21,2025-06,100.64,3354.59,100.64,cheque,mobile_app,paid_minimum,0,0.0,PREF000000000043,2025-07-20 00:00:00
PAY_00000043,ACC_0000004,CUST_000003,SG,SG_BANK,2025-08-21 00:00:00,2025-08-21,2025-07,106.99,3566.31,3162.19,giro,atm,paid_partial,0,0.0,PREF000000000044,2025-08-21 00:00:00
PAY_00000044,ACC_0000004,CUST_000003,SG,SG_BANK,2025-09-11 00:00:00,2025-09-21,2025-08,50.0,1038.19,1038.19,bank_transfer,branch,paid_full,0,0.0,PREF000000000045,2025-09-11 00:00:00
PAY_00000045,ACC_0000004,CUST_000003,SG,SG_BANK,2025-10-20 00:00:00,2025-10-21,2025-09,50.0,674.66,674.66,bank_transfer,atm,paid_full,0,0.0,PREF000000000046,2025-10-20 00:00:00
PAY_00000046,ACC_0000004,CUST_000003,SG,SG_BANK,2025-11-19 00:00:00,2025-11-21,2025-10,50.0,327.36,218.51,online_banking,mobile_app,paid_partial,0,0.0,PREF000000000047,2025-11-19 00:00:00
PAY_00000047,ACC_0000004,CUST_000003,SG,SG_BANK,2025-12-18 00:00:00,2025-12-21,2025-11,50.0,438.28,172.65,bank_transfer,branch,paid_partial,0,0.0,PREF000000000048,2025-12-18 00:00:00
PAY_00000048,ACC_0000004,CUST_000003,SG,SG_BANK,2025-12-28 00:00:00,2026-01-21,2025-12,50.0,900.2,843.2,bank_transfer,atm,paid_partial,0,0.0,PREF000000000049,2025-12-28 00:00:00
PAY_00000049,ACC_0000005,CUST_000004,SG,SG_BANK,2025-02-19 00:00:00,2025-02-21,2025-01,666.68,22222.75,6708.08,bank_transfer,atm,paid_partial,0,0.0,PREF000000000050,2025-02-19 00:00:00
PAY_00000050,ACC_0000005,CUST_000004,SG,SG_BANK,2025-03-17 00:00:00,2025-03-21,2025-02,481.18,16039.36,11335.6,giro,branch,paid_partial,0,0.0,PREF000000000051,2025-03-17 00:00:00
PAY_00000051,ACC_0000005,CUST_000004,SG,SG_BANK,2025-04-11 00:00:00,2025-04-21,2025-03,156.41,5213.64,5213.64,bank_transfer,internet_banking,paid_full,0,0.0,PREF000000000052,2025-04-11 00:00:00
PAY_00000052,ACC_0000005,CUST_000004,SG,SG_BANK,2025-05-24 00:00:00,2025-05-21,2025-04,50.0,1638.6,50.0,bank_transfer,branch,overdue,3,25.0,PREF000000000053,2025-05-24 00:00:00
PAY_00000053,ACC_0000005,CUST_000004,SG,SG_BANK,2025-06-18 00:00:00,2025-06-21,2025-05,90.28,3009.48,3009.48,bank_transfer,mobile_app,paid_full,0,0.0,PREF000000000054,2025-06-18 00:00:00
PAY_00000054,ACC_0000005,CUST_000004,SG,SG_BANK,2025-07-14 00:00:00,2025-07-21,2025-06,50.0,1366.73,1366.73,bank_transfer,internet_banking,paid_full,0,0.0,PREF000000000055,2025-07-14 00:00:00
PAY_00000055,ACC_0000005,CUST_000004,SG,SG_BANK,2025-08-11 00:00:00,2025-08-21,2025-07,50.0,226.02,226.02,online_banking,branch,paid_full,0,0.0,PREF000000000056,2025-08-11 00:00:00
PAY_00000056,ACC_0000005,CUST_000004,SG,SG_BANK,2025-09-18 00:00:00,2025-09-21,2025-08,50.0,1073.63,636.4,giro,branch,paid_partial,0,0.0,PREF000000000057,2025-09-18 00:00:00
PAY_00000057,ACC_0000005,CUST_000004,SG,SG_BANK,2025-10-14 00:00:00,2025-10-21,2025-09,50.0,697.03,697.03,online_banking,atm,paid_full,0,0.0,PREF000000000058,2025-10-14 00:00:00
PAY_00000058,ACC_0000005,CUST_000004,SG,SG_BANK,2025-11-14 00:00:00,2025-11-21,2025-10,50.0,893.03,893.03,online_banking,internet_banking,paid_full,0,0.0,PREF000000000059,2025-11-14 00:00:00
PAY_00000059,ACC_0000005,CUST_000004,SG,SG_BANK,2025-12-18 00:00:00,2025-12-21,2025-11,50.0,237.42,113.42,bank_transfer,branch,paid_partial,0,0.0,PREF000000000060,2025-12-18 00:00:00
PAY_00000060,ACC_0000005,CUST_000004,SG,SG_BANK,2025-12-28 00:00:00,2026-01-21,2025-12,70.4,2346.55,735.67,cheque,internet_banking,paid_partial,0,0.0,PREF000000000061,2025-12-28 00:00:00
PAY_00000061,ACC_0000006,CUST_000005,SG,SG_BANK,2025-02-13 00:00:00,2025-02-21,2025-01,318.88,10629.43,10629.43,online_banking,branch,paid_full,0,0.0,PREF000000000062,2025-02-13 00:00:00
PAY_00000062,ACC_0000006,CUST_000005,SG,SG_BANK,2025-03-18 00:00:00,2025-03-21,2025-02,50.0,628.85,628.85,online_banking,internet_banking,paid_full,0,0.0,PREF000000000063,2025-03-18 00:00:00
PAY_00000063,ACC_0000006,CUST_000005,SG,SG_BANK,2025-05-10 00:00:00,2025-04-21,2025-03,50.0,1386.45,50.0,giro,atm,overdue,19,25.0,PREF000000000064,2025-05-10 00:00:00
PAY_00000064,ACC_0000006,CUST_000005,SG,SG_BANK,2025-05-15 00:00:00,2025-05-21,2025-04,81.08,2702.78,2702.78,bank_transfer,branch,paid_full,0,0.0,PREF000000000065,2025-05-15 00:00:00
PAY_00000065,ACC_0000006,CUST_000005,SG,SG_BANK,2025-06-15 00:00:00,2025-06-21,2025-05,50.0,173.94,173.94,cheque,internet_banking,paid_full,0,0.0,PREF000000000066,2025-06-15 00:00:00
PAY_00000066,ACC_0000006,CUST_000005,SG,SG_BANK,2025-07-23 00:00:00,2025-07-21,2025-06,50.0,581.48,50.0,cheque,mobile_app,overdue,2,25.0,PREF000000000067,2025-07-23 00:00:00
PAY_00000067,ACC_0000006,CUST_000005,SG,SG_BANK,2025-08-15 00:00:00,2025-08-21,2025-07,72.51,2417.02,2417.02,bank_transfer,internet_banking,paid_full,0,0.0,PREF000000000068,2025-08-15 00:00:00
PAY_00000068,ACC_0000006,CUST_000005,SG,SG_BANK,2025-09-19 00:00:00,2025-09-21,2025-08,50.0,811.77,811.77,bank_transfer,branch,paid_full,0,0.0,PREF000000000069,2025-09-19 00:00:00
PAY_00000069,ACC_0000006,CUST_000005,SG,SG_BANK,2025-10-18 00:00:00,2025-10-21,2025-09,70.45,2348.47,2348.47,cheque,mobile_app,paid_full,0,0.0,PREF000000000070,2025-10-18 00:00:00
PAY_00000070,ACC_0000006,CUST_000005,SG,SG_BANK,2025-11-20 00:00:00,2025-11-21,2025-10,50.0,167.6,73.69,giro,atm,paid_partial,0,0.0,PREF000000000071,2025-11-20 00:00:00
PAY_00000071,ACC_0000006,CUST_000005,SG,SG_BANK,2025-12-19 00:00:00,2025-12-21,2025-11,50.0,1615.68,1615.68,online_banking,atm,paid_full,0,0.0,PREF000000000072,2025-12-19 00:00:00
PAY_00000072,ACC_0000006,CUST_000005,SG,SG_BANK,2025-12-28 00:00:00,2026-01-21,2025-12,50.0,1330.23,403.26,giro,internet_banking,paid_partial,0,0.0,PREF000000000073,2025-12-28 00:00:00
PAY_00000073,ACC_0000007,CUST_000006,SG,SG_BANK,2025-02-19 00:00:00,2025-02-21,2025-01,197.17,6572.48,6572.48,online_banking,internet_banking,paid_full,0,0.0,PREF000000000074,2025-02-19 00:00:00
PAY_00000074,ACC_0000007,CUST_000006,SG,SG_BANK,2025-03-23 00:00:00,2025-03-21,2025-02,50.0,1186.16,50.0,giro,atm,overdue,2,25.0,PREF000000000075,2025-03-23 00:00:00
PAY_00000075,ACC_0000007,CUST_000006,SG,SG_BANK,2025-04-12 00:00:00,2025-04-21,2025-03,99.03,3301.04,3301.04,online_banking,internet_banking,paid_full,0,0.0,PREF000000000076,2025-04-12 00:00:00
PAY_00000076,ACC_0000007,CUST_000006,SG,SG_BANK,2025-05-28 00:00:00,2025-05-21,2025-04,50.0,1500.39,50.0,giro,mobile_app,overdue,7,25.0,PREF000000000077,2025-05-28 00:00:00
PAY_00000077,ACC_0000007,CUST_000006,SG,SG_BANK,2025-06-15 00:00:00,2025-06-21,2025-05,125.02,4167.5,1882.4,cheque,internet_banking,paid_partial,0,0.0,PREF000000000078,2025-06-15 00:00:00
PAY_00000078,ACC_0000007,CUST_000006,SG,SG_BANK,2025-07-16 00:00:00,2025-07-21,2025-06,94.57,3152.2,3152.2,giro,internet_banking,paid_full,0,0.0,PREF000000000079,2025-07-16 00:00:00
PAY_00000079,ACC_0000007,CUST_000006,SG,SG_BANK,2025-08-18 00:00:00,2025-08-21,2025-07,50.0,542.72,269.2,giro,branch,paid_partial,0,0.0,PREF000000000080,2025-08-18 00:00:00
PAY_00000080,ACC_0000007,CUST_000006,SG,SG_BANK,2025-09-15 00:00:00,2025-09-21,2025-08,50.0,798.41,798.41,online_banking,atm,paid_full,0,0.0,PREF000000000081,2025-09-15 00:00:00
PAY_00000081,ACC_0000007,CUST_000006,SG,SG_BANK,2025-10-20 00:00:00,2025-10-21,2025-09,50.0,712.25,50.0,bank_transfer,mobile_app,paid_minimum,0,0.0,PREF000000000082,2025-10-20 00:00:00
PAY_00000082,ACC_0000007,CUST_000006,SG,SG_BANK,2025-11-14 00:00:00,2025-11-21,2025-10,108.9,3630.05,3630.05,cheque,branch,paid_full,0,0.0,PREF000000000083,2025-11-14 00:00:00
PAY_00000083,ACC_0000007,CUST_000006,SG,SG_BANK,2025-12-14 00:00:00,2025-12-21,2025-11,50.0,1106.57,1106.57,giro,atm,paid_full,0,0.0,PREF000000000084,2025-12-14 00:00:00
PAY_00000084,ACC_0000007,CUST_000006,SG,SG_BANK,2025-12-28 00:00:00,2026-01-21,2025-12,50.0,510.48,50.0,giro,atm,paid_minimum,0,0.0,PREF000000000085,2025-12-28 00:00:00
PAY_00000085,ACC_0000008,CUST_000006,SG,SG_BANK,2025-02-16 00:00:00,2025-02-21,2025-01,421.47,14048.96,14048.96,bank_transfer,branch,paid_full,0,0.0,PREF000000000086,2025-02-16 00:00:00
PAY_00000086,ACC_0000008,CUST_000006,SG,SG_BANK,2025-03-15 00:00:00,2025-03-21,2025-02,50.0,1141.85,1141.85,online_banking,branch,paid_full,0,0.0,PREF000000000087,2025-03-15 00:00:00
PAY_00000087,ACC_0000008,CUST_000006,SG,SG_BANK,2025-04-17 00:00:00,2025-04-21,2025-03,50.0,1047.53,1047.53,giro,mobile_app,paid_full,0,0.0,PREF000000000088,2025-04-17 00:00:00
PAY_00000088,ACC_0000008,CUST_000006,SG,SG_BANK,2025-05-21 00:00:00,2025-05-21,2025-04,50.0,641.58,346.94,bank_transfer,branch,paid_partial,0,0.0,PREF000000000089,2025-05-21 00:00:00
PAY_00000089,ACC_0000008,CUST_000006,SG,SG_BANK,2025-06-28 00:00:00,2025-06-21,2025-05,50.0,443.45,0.0,giro,atm,overdue,7,25.0,PREF000000000090,2025-06-28 00:00:00
PAY_00000090,ACC_0000008,CUST_000006,SG,SG_BANK,2025-07-13 00:00:00,2025-07-21,2025-06,50.0,1545.47,1545.47,online_banking,atm,paid_full,0,0.0,PREF000000000091,2025-07-13 00:00:00
PAY_00000091,ACC_0000008,CUST_000006,SG,SG_BANK,2025-08-21 00:00:00,2025-08-21,2025-07,63.1,2103.46,983.97,giro,internet_banking,paid_partial,0,0.0,PREF000000000092,2025-08-21 00:00:00
PAY_00000092,ACC_0000008,CUST_000006,SG,SG_BANK,2025-09-20 00:00:00,2025-09-21,2025-08,102.13,3404.33,3404.33,online_banking,mobile_app,paid_full,0,0.0,PREF000000000093,2025-09-20 00:00:00
PAY_00000093,ACC_0000008,CUST_000006,SG,SG_BANK,2025-10-13 00:00:00,2025-10-21,2025-09,50.0,998.8,998.8,giro,mobile_app,paid_full,0,0.0,PREF000000000094,2025-10-13 00:00:00
PAY_00000094,ACC_0000008,CUST_000006,SG,SG_BANK,2025-11-17 00:00:00,2025-11-21,2025-10,50.0,241.77,241.77,bank_transfer,mobile_app,paid_full,0,0.0,PREF000000000095,2025-11-17 00:00:00
PAY_00000095,ACC_0000008,CUST_000006,SG,SG_BANK,2025-12-17 00:00:00,2025-12-21,2025-11,50.0,1427.59,1132.47,bank_transfer,atm,paid_partial,0,0.0,PREF000000000096,2025-12-17 00:00:00
PAY_00000096,ACC_0000008,CUST_000006,SG,SG_BANK,2025-12-28 00:00:00,2026-01-21,2025-12,58.7,1956.56,1956.56,online_banking,internet_banking,paid_full,0,0.0,PREF000000000097,2025-12-28 00:00:00
PAY_00000097,ACC_0000009,CUST_000007,SG,SG_BANK,2025-02-18 00:00:00,2025-02-21,2025-01,259.14,8637.85,8637.85,online_banking,atm,paid_full,0,0.0,PREF000000000098,2025-02-18 00:00:00
PAY_00000098,ACC_0000009,CUST_000007,SG,SG_BANK,2025-03-24 00:00:00,2025-03-21,2025-02,50.0,596.83,50.0,bank_transfer,atm,overdue,3,25.0,PREF000000000099,2025-03-24 00:00:00
PAY_00000099,ACC_0000009,CUST_000007,SG,SG_BANK,2025-04-19 00:00:00,2025-04-21,2025-03,50.0,1038.44,1038.44,cheque,mobile_app,paid_full,0,0.0,PREF000000000100,2025-04-19 00:00:00
PAY_00000100,ACC_0000009,CUST_000007,SG,SG_BANK,2025-05-14 00:00:00,2025-05-21,2025-04,50.0,444.67,164.7,cheque,internet_banking,paid_partial,0,0.0,PREF000000000101,2025-05-14 00:00:00
PAY_00000101,ACC_0000009,CUST_000007,SG,SG_BANK,2025-06-20 00:00:00,2025-06-21,2025-05,83.05,2768.49,2768.49,bank_transfer,branch,paid_full,0,0.0,PREF000000000102,2025-06-20 00:00:00
PAY_00000102,ACC_0000009,CUST_000007,SG,SG_BANK,2025-07-17 00:00:00,2025-07-21,2025-06,50.0,739.02,739.02,giro,atm,paid_full,0,0.0,PREF000000000103,2025-07-17 00:00:00
PAY_00000103,ACC_0000009,CUST_000007,SG,SG_BANK,2025-08-14 00:00:00,2025-08-21,2025-07,50.0,1070.83,583.73,giro,internet_banking,paid_partial,0,0.0,PREF000000000104,2025-08-14 00:00:00
PAY_00000104,ACC_0000009,CUST_000007,SG,SG_BANK,2025-09-19 00:00:00,2025-09-21,2025-08,54.71,1823.78,1823.78,online_banking,mobile_app,paid_full,0,0.0,PREF000000000105,2025-09-19 00:00:00
PAY_00000105,ACC_0000009,CUST_000007,SG,SG_BANK,2025-10-12 00:00:00,2025-10-21,2025-09,50.0,201.53,201.53,bank_transfer,branch,paid_full,0,0.0,PREF000000000106,2025-10-12 00:00:00
PAY_00000106,ACC_0000009,CUST_000007,SG,SG_BANK,2025-11-21 00:00:00,2025-11-21,2025-10,60.76,2025.4,60.76,bank_transfer,branch,paid_minimum,0,0.0,PREF000000000107,2025-11-21 00:00:00
PAY_00000107,ACC_0000009,CUST_000007,SG,SG_BANK,2025-12-14 00:00:00,2025-12-21,2025-11,66.93,2230.92,1087.61,giro,mobile_app,paid_partial,0,0.0,PREF000000000108,2025-12-14 00:00:00
PAY_00000108,ACC_0000009,CUST_000007,SG,SG_BANK,2025-12-28 00:00:00,2026-01-21,2025-12,65.23,2174.47,65.23,giro,mobile_app,paid_minimum,0,0.0,PREF000000000109,2025-12-28 00:00:00
PAY_00000109,ACC_0000010,CUST_000007,SG,SG_BANK,2025-02-20 00:00:00,2025-02-21,2025-01,332.26,11075.4,4805.23,bank_transfer,atm,paid_partial,0,0.0,PREF000000000110,2025-02-20 00:00:00
PAY_00000110,ACC_0000010,CUST_000007,SG,SG_BANK,2025-03-24 00:00:00,2025-03-21,2025-02,216.59,7219.64,216.59,bank_transfer,branch,overdue,3,25.0,PREF000000000111,2025-03-24 00:00:00
PAY_00000111,ACC_0000010,CUST_000007,SG,SG_BANK,2025-04-14 00:00:00,2025-04-21,2025-03,237.42,7913.91,5930.09,giro,atm,paid_partial,0,0.0,PREF000000000112,2025-04-14 00:00:00
PAY_00000112,ACC_0000010,CUST_000007,SG,SG_BANK,2025-05-14 00:00:00,2025-05-21,2025-04,85.96,2865.32,1664.13,online_banking,atm,paid_partial,0,0.0,PREF000000000113,2025-05-14 00:00:00
PAY_00000113,ACC_0000010,CUST_000007,SG,SG_BANK,2025-06-19 00:00:00,2025-06-21,2025-05,56.09,1869.76,1663.49,bank_transfer,atm,paid_partial,0,0.0,PREF000000000114,2025-06-19 00:00:00
PAY_00000114,ACC_0000010,CUST_000007,SG,SG_BANK,2025-07-19 00:00:00,2025-07-21,2025-06,50.0,483.36,220.43,cheque,mobile_app,paid_partial,0,0.0,PREF000000000115,2025-07-19 00:00:00
PAY_00000115,ACC_0000010,CUST_000007,SG,SG_BANK,2025-08-16 00:00:00,2025-08-21,2025-07,50.0,646.27,274.58,giro,atm,paid_partial,0,0.0,PREF000000000116,2025-08-16 00:00:00
PAY_00000116,ACC_0000010,CUST_000007,SG,SG_BANK,2025-09-12 00:00:00,2025-09-21,2025-08,50.0,979.39,979.39,cheque,internet_banking,paid_full,0,0.0,PREF000000000117,2025-09-12 00:00:00
PAY_00000117,ACC_0000010,CUST_000007,SG,SG_BANK,2025-10-13 00:00:00,2025-10-21,2025-09,50.0,556.62,556.62,cheque,branch,paid_full,0,0.0,PREF000000000118,2025-10-13 00:00:00
PAY_00000118,ACC_0000010,CUST_000007,SG,SG_BANK,2025-11-18 00:00:00,2025-11-21,2025-10,50.0,1278.11,1278.11,cheque,atm,paid_full,0,0.0,PREF000000000119,2025-11-18 00:00:00
PAY_00000119,ACC_0000010,CUST_000007,SG,SG_BANK,2025-12-16 00:00:00,2025-12-21,2025-11,50.0,571.42,571.42,cheque,mobile_app,paid_full,0,0.0,PREF000000000120,2025-12-16 00:00:00
PAY_00000120,ACC_0000010,CUST_000007,SG,SG_BANK,2025-12-28 00:00:00,2026-01-21,2025-12,50.0,293.81,293.81,bank_transfer,internet_banking,paid_full,0,0.0,PREF000000000121,2025-12-28 00:00:00
PAY_00000121,ACC_0000011,CUST_000008,SG,SG_BANK,2025-02-15 00:00:00,2025-02-21,2025-01,160.5,5350.12,5350.12,cheque,atm,paid_full,0,0.0,PREF000000000122,2025-02-15 00:00:00
PAY_00000122,ACC_0000011,CUST_000008,SG,SG_BANK,2025-03-16 00:00:00,2025-03-21,2025-02,50.0,1060.13,1060.13,online_banking,mobile_app,paid_full,0,0.0,PREF000000000123,2025-03-16 00:00:00
